avgP,minP,maxP,sumP,actorCD,Name
608056933.3333,349943500,1123934000,1824170800,20293789,정애화
15826200227.9167,251176500,66372140706,569743208205,10040580,신정근
22083707749.8421,230206600,110933981730,419590447247,10062279,정진영
16397220522.2286,350293300,105169264250,573902718278,10061699,정만식
4442741128.6667,1229698892,8836144063,13328223386,20223186,이학주
11565892514.9000,1642407500,56322098349,115658925149,20137049,진선규
12287210802.5294,1095301000,56322098349,208882583643,20152472,유지연
3511145964.3333,217973600,20597497600,52667189465,10057816,이칸희
271945300.0000,271945300,271945300,271945300,20197008,김은주
6546186407.0000,594260900,16912706195,26184745628,20288749,목규리
134375821110.0000,132998319910,135753322310,268751642220,20197663,서성광
13036331714.6000,2956397623,63783051326,130363317146,20231468,박형수
3326439772.0000,3326439772,3326439772,3326439772,20256589,김혜인
12750306562.7143,284106600,105169264250,267756437817,10071900,천호진
6918734931.2778,218173300,36292848900,124537228763,10056895,이원종
17877643857.6333,218173300,91431950670,536329315729,10066926,조재윤
666117650.0000,218173300,1114062000,1332235300,20100017,김지훈
42658061304.0000,2641412500,66372140706,127974183912,20124322,이이경
11131458154.1667,1762892500,31313568795,66788748925,20231467,안세하
1054470664.0000,1054470664,1054470664,1054470664,20210387,"샘 오취리"
31313568795.0000,31313568795,31313568795,31313568795,10091208,나나
23413322597.0000,1260533864,45566111330,46826645194,10006557,김희정
12412433617.8000,951843500,60175111015,124124336178,10053708,유선
4346028860.6667,978382500,18567863300,26076173164,10001486,고두심
7475272746.3000,273384900,34222160500,149505454926,10055970,이선균
25105599624.0714,1849140000,93665632500,351478394737,10006380,김혜수
29098973316.0000,18044217632,40153729000,58197946632,10005693,차엽
34330904545.0000,10494768945,58167040145,68661809090,20283730,정재윤
9194489637.4000,3930219264,11990707878,45972448187,20195643,이수경
3029384776.6667,2452368566,3930219264,9088154330,10067417,조한철
24575947386.0625,1762892500,105169264250,393215158177,20186095,이동휘
4335017179.0000,216276800,6986456737,13005051537,20133942,윤승아
6481379657.0000,6481379657,6481379657,6481379657,20282651,이예원
10412040715.5000,505103590,36985578499,124944488586,20090447,한예리
36752148434.0000,599122500,93042352648,147008593736,20278549,김율호
15005385745.6667,284106600,58167040145,90032314474,10049790,여진구
11552042920.9474,237013700,58167040145,219488815498,10026732,문소리
10996595328.8636,327192000,58167040145,241925097235,10029595,박희순
19385766013.2727,759481000,81025004000,426486852292,10035772,설경구
14729317828.2857,3396292000,43488814535,103105224798,20195029,이가경
8870143589.0000,8870143589,8870143589,8870143589,20235406,윤정일
746323500.0000,746323500,746323500,746323500,20290149,정성훈
6142878896.7500,415009400,9739662144,24571515587,20253678,윤진영
5173615752.3333,3584851500,8329341500,15520847257,20157273,정보름
2492442777.0000,1430079500,3554806054,4984885554,10069019,주민하
891674966.6667,314542400,1246420500,2675024900,20148026,김기연
2705566500.0000,2705566500,2705566500,2705566500,20133917,배슬기
25884541506.5000,3068195600,48700887413,51769083013,10089395,홍경인
5930678593.5000,2749609100,9111748087,11861357187,20212187,고원희
33667894215.6667,4243936350,61270079831,101003682647,20270289,원진아
11116133893.2000,728085000,35489666466,55580669466,10087638,안미나
21055058499.6667,1738293033,35489666466,63165175499,10005877,김지호
25423130909.0000,335696650,50510565168,50846261818,20281391,설준수
335696650.0000,335696650,335696650,335696650,20274149,최현우
335696650.0000,335696650,335696650,335696650,20281390,박창준
5878336050.0000,335696650,14835559500,17635008150,20166593,탁우석
335696650.0000,335696650,335696650,335696650,20281371,오경원
335696650.0000,335696650,335696650,335696650,20281389,정준영
335696650.0000,335696650,335696650,335696650,20281370,최이선
12237101736.5000,255508579,38532269000,195793627784,20289190,리우진
3460460230.0000,3460460230,3460460230,3460460230,20197786,손수현
50304255850.2500,11688465619,115706188137,201217023401,20196246,김기태
35101029440.3333,11924818185,58167040145,105303088321,20201026,김태리
22966036331.3333,263049900,115706188137,344490544970,10003967,김동욱
33008523666.6364,976008100,115706188137,363093760333,10006228,김향기
10884525349.7500,1740290500,25437192500,87076202798,10088453,허준호
5471440286.5000,3948158400,6994722173,10942880573,20217766,신은수
18217555088.6250,417495600,55827861500,145740440709,10004099,김무열
6273995427.1613,273384900,30037161000,194493858242,10003307,기주봉
30518052754.1111,4751661400,77319445264,274662474787,10004852,김시은
9003326800.0000,3068195600,14938458000,18006653600,20120069,지용석
1890873700.0000,1890873700,1890873700,1890873700,20273691,김도완
9453538848.6000,811844000,17695683795,47267694243,20186265,이유미
23790276987.0000,23790276987,23790276987,23790276987,20273690,이재균
9878609150.0000,5246996000,14510222300,19757218300,10000619,강민아
62697419249.0000,62697419249,62697419249,62697419249,20273689,김가희
13716463341.2727,459566121,50510565168,150881096754,20112047,박성일
2839654050.0000,284106600,5395201500,5679308100,20125785,김예나
8844341440.7500,931460100,23831958600,35377365763,20130289,김호원
21968680600.0000,21968680600,21968680600,21968680600,20135225,박주용
16555293024.4000,2247017000,50510565168,82776465122,20308773,김고은
1900914300.0000,1900914300,1900914300,1900914300,20306330,고나은
3810103000.0000,3810103000,3810103000,3810103000,20133853,강세정
1900914300.0000,1900914300,1900914300,1900914300,20306329,박진
1900914300.0000,1900914300,1900914300,1900914300,20299550,최희진
1900914300.0000,1900914300,1900914300,1900914300,20299551,김태민
20647941646.7500,415009400,77319445264,82591766587,20306309,김영
1157961850.0000,415009400,1900914300,2315923700,20227828,김민규
1900914300.0000,1900914300,1900914300,1900914300,20299549,소주연
14194078468.9000,209955500,105169264250,283881569378,10060279,장소연
4014072273.0000,4014072273,4014072273,4014072273,20305211,김형주
4014072273.0000,4014072273,4014072273,4014072273,20305210,한별
12561177823.5000,4014072273,19266319637,50244711294,20305209,최정헌
27780535902.2000,2500814949,63783051326,138902679511,20212660,김준한
20618276000.0000,20618276000,20618276000,20618276000,20303649,박선준
20064589110.9286,1930905564,95868830649,280904247553,20302169,차순배
17956561822.0000,326980700,62697419249,161609056398,10090163,황승언
2027581239.0000,2027581239,2027581239,2027581239,20297949,김소희
23880700123.3333,710905075,43484892913,71642100370,20297929,이주영
30443431873.9524,274134500,115706188137,639312069353,10049950,예수정
3206466183.3333,821271100,5246996000,19238797100,10061694,정려원
9817333316.3333,811692000,20579716662,29451999949,20304870,김현빈
22596856258.0000,811692000,44382020516,45193712516,20304891,정다은
1363318466.6667,357352000,3122965500,8179910800,20155402,정다빈
26909477678.0000,26909477678,26909477678,26909477678,20279149,손담비
17087724816.5455,1324401000,43488814535,187964972982,10007517,남명렬
19341306981.6667,11515559845,27242041463,58023920945,20274790,김하나
360833100.0000,360833100,360833100,360833100,20277331,김재범
2191319033.3333,1728722300,2515479835,6573957100,20199635,이지원
7630551970.8000,616132846,23790276987,38152759854,20190036,연송하
3315382033.3333,273120000,7324579000,19892292200,10003756,김꽃비
26636832465.8000,1900914300,57530028417,133184162329,20287457,이한서
16706782390.1818,1545587500,62697419249,183774606292,10006877,나문희
13204776830.4762,271945300,55863520382,277300313440,20113303,이용녀
6727109750.0000,245731000,15655329500,26908439000,20166890,신유주
30778603439.1667,4780632000,66715881300,184671620635,10035541,서이숙
2626763001.3333,357352000,5454304904,7880289004,20110885,윤기원
25781520042.8571,4326582400,55863520382,180470640300,20142702,백승철
4389632236.5000,1784542300,6994722173,8779264473,20198906,김현준
7117074178.8000,527412000,14710541000,35585370894,10056083,이세영
13797492289.9000,1229698892,61270079831,137974922899,20221674,오하늬
11012919157.1304,748936684,47102707500,253297140614,10006545,김희원
5194053725.7500,1229698892,8946889910,20776214903,20189016,이유영
10187300897.8333,417495600,22486492000,61123805387,10004171,김민교
9937239590.5000,363098800,36181314700,417364062801,10050734,오정세
417495600.0000,417495600,417495600,417495600,10061222,전광렬
991568200.0000,991568200,991568200,991568200,10026707,문석범
27411849022.2308,1246200228,61270079831,356354037289,20166024,고준
26526906997.0000,218173300,115706188137,159161441982,20235446,정지훈
2629587000.0000,1394050500,3865123500,5259174000,10071139,차승우
21442169144.0000,21442169144,21442169144,21442169144,20302270,유제윤
21442169144.0000,21442169144,21442169144,21442169144,20302269,이승욱
30315567514.6667,21442169144,44092710000,90946702544,20301589,박성훈
14218445658.5000,6994722173,21442169144,28436891317,20302249,문예원
21442169144.0000,21442169144,21442169144,21442169144,20301590,오아연
12384304458.0000,3326439772,21442169144,24768608916,20256609,박지현
6014964405.5000,3969337524,8060591287,12029928811,10079524,탕준상
1977196563.0000,1977196563,1977196563,1977196563,20195671,하윤경
17746719158.6667,993321176,30037161000,53240157476,20302129,박찬영
3700963828.5714,663144000,13579712500,25906746800,10047087,양지웅
8852257128.8333,273384900,32373120927,159340628319,10043631,안재홍
3249418215.8000,326980700,6572774337,32494182158,20110323,이솜
19371654711.0000,2956397623,58068236865,96858273555,20299151,이승용
4350453000.0000,4114057000,4586849000,8700906000,10056669,이영아
1365969407.0000,1150732700,1762892500,5463877628,10004613,김성은
5171687954.5455,811692000,11664597600,56888567500,10057411,이종혁
22749340264.3913,243405000,135753322310,523234826081,10057435,이주실
1890873700.0000,1890873700,1890873700,1890873700,20302229,김현진
3272854608.3333,253673000,7674017125,9818563825,10026816,문지윤
1890873700.0000,1890873700,1890873700,1890873700,20212927,오종혁
18890264602.1667,1505964500,55827861500,113341587613,10028507,박기웅
2971358710.5000,361431100,5474392042,11885434842,10050563,오연서
1890873700.0000,1890873700,1890873700,1890873700,20126329,박해진
17283254512.3333,10204359000,20844488409,51849763537,20127929,손여은
32591468322.0000,20800916128,44382020516,65182936644,20111107,서정연
8771746548.0000,459566121,20800916128,26315239644,20265972,이유진
2956397623.0000,2956397623,2956397623,2956397623,20290349,이유진
216276800.0000,216276800,216276800,216276800,20282729,오승훈
5205799460.5000,3930219264,6481379657,10411598921,20256970,박규영
11924818185.0000,11924818185,11924818185,11924818185,20272089,진기주
5246996000.0000,5246996000,5246996000,5246996000,20146480,서은채
6768726632.0000,440536500,21641740000,27074906528,20176563,황금희
5807823500.0000,5807823500,5807823500,5807823500,10004586,김성민
6247070466.5000,218173300,12651193723,24988281866,20219146,정해인
2246522500.0000,2246522500,2246522500,2246522500,10031366,변우민
12642700856.1579,237013700,93042352648,240211316267,10062071,정유미
3096432614.5000,285388958,6306680500,12385730458,10058918,임형국
1359190666.6667,718090000,1927358500,4077572000,20127460,이선호
14110639989.5714,389374500,57530028417,395097919708,10070602,진용욱
17328947262.4444,1927358500,82871781800,155960525362,10060144,장리우
13829768531.5000,417495600,27242041463,27659537063,20162224,이익준
17106411870.0769,284106600,63783051326,222383354311,10001907,공정환
3434148205.7500,2329754965,5012916263,13736592823,20112288,한주영
15577400659.6000,5012916263,43488814535,77887003298,20308509,김규선
18044217632.0000,18044217632,18044217632,18044217632,20307170,서은수
16444567960.0000,1220941000,105169264250,230223951440,10001457,고규필
19497680979.7500,522848900,50510565168,77990723919,20307169,장성범
46573422370.5000,2892681205,66372140706,186293689482,20305129,박해수
7121383088.7500,273384900,27242041463,28485532355,20147123,안선영
3585934900.0000,2247017000,4924852800,7171869800,20181903,이재인
12046560373.6667,1302907128,23130188893,36139681121,20302569,강두
10579273625.8889,773088000,22486492000,95213462633,20145117,송지인
7925363236.0000,493278500,27007303900,63402905888,10040291,신동미
21442169144.0000,21442169144,21442169144,21442169144,20301569,위하준
3637297980.0000,253673000,15655329500,18186489900,10005043,김영호
6538927100.0000,6538927100,6538927100,6538927100,20306438,김두용
6538927100.0000,6538927100,6538927100,6538927100,20306437,임정길
