avgP,minP,maxP,sumP,DICD,Name
3810103000.0000,3810103000,3810103000,3810103000,10027799,민병우
3222783000.0000,3222783000,3222783000,3222783000,20113788,임왕태
5802318000.0000,5802318000,5802318000,5802318000,20187952,김진황
15374798000.0000,15374798000,15374798000,15374798000,10058151,이형석
6405235750.0000,6161685500,6648786000,12810471500,10057572,이지원
1160035562.0000,1160035562,1160035562,1160035562,10030203,배윤호
45566111330.0000,45566111330,45566111330,45566111330,10054821,이공희
1724828750.0000,1077451000,2372206500,3449657500,20153039,장희민
30220536000.0000,30220536000,30220536000,30220536000,20192386,조현철
287654500.0000,287654500,287654500,287654500,20112545,김진원
4178433300.0000,465532500,20618276000,50141199600,10065915,조성규
4061337318.5714,1006594000,6931136500,28429361230,10057277,이정섭
470675000.0000,470675000,470675000,470675000,10060143,장률
285388958.0000,285388958,285388958,285388958,10060025,장건재
6164168300.0000,1849140000,9693558300,43149178100,10057331,이정호
11629780500.0000,11629780500,11629780500,11629780500,10050630,오우삼
7666493220.0000,2195870500,20597497600,38332466100,10050570,오영두
55863520382.0000,55863520382,55863520382,55863520382,20113602,김의석
1158121000.0000,1095301000,1220941000,2316242000,10005808,김중현
33926037850.0000,18511991000,49340084700,67852075700,10040912,심형래
9029661500.0000,262191500,17797131500,18059323000,10036874,손영성
4562192000.0000,1073144500,8051239500,9124384000,10028506,박기용
7799250716.0000,2108596800,13489904632,15598501432,20207326,김은진
25900440686.8182,4114057000,105169264250,284904847555,10019069,류승완
1371483625.0000,439400000,2705566500,5485934500,10005544,김정구
4855272721.6667,2329754965,8842295700,14565818165,10004652,김성호
361603500.0000,361603500,361603500,361603500,10004626,김성준
11560158791.3030,391554441,66715881300,381485240113,10004407,김상만
285388958.0000,285388958,285388958,285388958,10000249,"가와세 나오미"
25475830219.0000,2106823000,54035565100,203806641752,20125862,이병헌
28716475326.3333,11783109998,56322098349,86149425979,10055945,이석근
33895690774.0000,1160035562,93042352648,101687072322,10049814,연상호
8898144166.6667,4114057000,15995187000,26694432500,20304229,김동후
18496577650.0000,1123934000,66014775400,73986310600,20302149,방수인
710905075.0000,710905075,710905075,710905075,10030331,백승화
2161975372.1429,251176500,7712339500,15133827605,20111176,신재호
14510222300.0000,14510222300,14510222300,14510222300,20308491,조재원
14510222300.0000,14510222300,14510222300,14510222300,20308490,최지현
6538927100.0000,6538927100,6538927100,6538927100,20306433,김진철
6538927100.0000,6538927100,6538927100,6538927100,20306533,최신규
1123934000.0000,1123934000,1123934000,1123934000,10070411,진광교
58167040145.0000,58167040145,58167040145,58167040145,20299130,옥대훈
4682641000.0000,4682641000,4682641000,4682641000,20123666,손미
14626427250.0000,4926508500,24326346000,29252854500,20142869,장권호
240262112.0000,240262112,240262112,240262112,10002274,구혜선
3942133500.0000,3201626000,4682641000,7884267000,10019097,류장하
624625997.5000,263526895,985725100,1249251995,20286802,방성준
4445790528.0000,4445790528,4445790528,4445790528,20302876,김지영
