title,actorCD,total_profit,Name
"그래, 가족",20293789,350293300,정애화
"성실한 나라의 앨리스",20293789,349943500,정애화
"뷰티풀 선데이",20293789,1123934000,정애화
"대장 김창수",10040580,2879121115,신정근
대결,10040580,251176500,신정근
"위험한 상견례 2",10040580,3575384754,신정근
"해적: 바다로 간 산적",10040580,58960630706,신정근
"해적: 바다로 간 산적",10040580,66372140706,신정근
"끝까지 간다",10040580,27007303900,신정근
"더 파이브",10040580,5343797000,신정근
깡철이,10040580,8572344462,신정근
"은밀하게 위대하게",10040580,48700887413,신정근
"바람과 함께 사라지다",10040580,33243273161,신정근
"바람과 함께 사라지다",10040580,34614661161,신정근
차형사,10040580,9752555296,신정근
"시체가 돌아왔다",10040580,7360631000,신정근
하울링,10040580,11765293500,신정근
"적과의 동침",10040580,1740340000,신정근
평양성,10040580,12684530500,신정근
"방가? 방가!",10040580,7013842000,신정근
"구르믈 버서난 달처럼",10040580,10241690500,신정근
애자,10040580,13633902000,신정근
"킹콩을 들다",10040580,8851802500,신정근
"거북이 달린다",10040580,20618276000,신정근
신기전,10040580,24326346000,신정근
신기전,10040580,4926508500,신정근
"님은 먼 곳에",10040580,11200872500,신정근
"더 게임",10040580,9807963501,신정근
"즐거운 인생",10040580,7874566500,신정근
"날아라 허동구",10040580,2333597000,신정근
"동갑내기 과외하기 레슨 2",10040580,3309177500,신정근
"라디오 스타",10040580,9860797500,신정근
"잘 살아보세",10040580,1415274100,신정근
사생결단,10040580,10934307100,신정근
구세주,10040580,10087308700,신정근
"왕의 남자",10040580,66014775400,신정근
"달마야, 서울 가자",10040580,4469579500,신정근
"아홉살 인생",10040580,527412000,신정근
챔피언,10040580,9471138230,신정근
"흥부: 글로 세상을 바꾼 자",10062279,3381050200,정진영
"대장 김창수",10062279,2879121115,정진영
판도라,10062279,36067171064,정진영
그랜드파더,10062279,230206600,정진영
시간이탈자,10062279,9731838195,정진영
"강남 1970",10062279,17718699499,정진영
국제시장,10062279,110933981730,정진영
"찌라시: 위험한 소문",10062279,9111748087,정진영
"또 하나의 약속",10062279,3541402400,정진영
"7번방의 선물",10062279,91431950670,정진영
반창꼬,10062279,17911274787,정진영
특수본,10062279,8096052500,정진영
평양성,10062279,12684530500,정진영
"이태원 살인사건",10062279,3978029000,정진영
"님은 먼 곳에",10062279,11200872500,정진영
"즐거운 인생",10062279,7874566500,정진영
"날아라 허동구",10062279,2333597000,정진영
"왕의 남자",10062279,66014775400,정진영
"달마야, 서울 가자",10062279,4469579500,정진영
"대장 김창수",10061699,2879121115,정만식
보통사람,10061699,2956397623,정만식
"그래, 가족",10061699,350293300,정만식
아수라,10061699,20579716662,정만식
"내부자들: 디 오리지널",10061699,16973885275,정만식
대호,10061699,13489904632,정만식
내부자들,10061699,56598333057,정만식
간신,10061699,8946889910,정만식
베테랑,10061699,105169264250,정만식
헬머니,10061699,4122996972,정만식
허삼관,10061699,7410215569,정만식
"군도: 민란의 시대",10061699,36985578499,정만식
"끝까지 간다",10061699,27007303900,정만식
"남자가 사랑할 때",10061699,14510222300,정만식
"7번방의 선물",10061699,91431950670,정만식
간첩,10061699,9316548500,정만식
은교,10061699,9917948044,정만식
"시체가 돌아왔다",10061699,7360631000,정만식
특수본,10061699,8096052500,정만식
카운트다운,10061699,3630557000,정만식
"가문의 영광4 - 가문의 수난",10061699,17792219500,정만식
모비딕,10061699,3264596000,정만식
"수상한 고객들",10061699,7953428000,정만식
황해,10061699,17497165500,정만식
부당거래,10061699,20996302500,정만식
"심야의 F.M.",10061699,9179188500,정만식
파주,10061699,969489100,정만식
똥파리,10061699,842501700,정만식
"영화는 영화다",10061699,8967441000,정만식
"극락도 살인사건",10061699,13328932000,정만식
수,10061699,1208282000,정만식
"예의없는 것들",10061699,4326582400,정만식
"예의없는 것들",10061699,4886772800,정만식
"오로라 공주",10061699,5365343000,정만식
잠복근무,10061699,9590663500,정만식
"나를 기억해",20223186,1229698892,이학주
"날, 보러와요",20223186,8836144063,이학주
