title,DICD,total_profit,Name
"너는 펫",10027799,3810103000,민병우
"역전의 명수",20113788,3222783000,임왕태
"고死 두 번째 이야기: 교생실습",20187952,5802318000,김진황
초능력자,10058151,15374798000,이형석
"우아한 세계",10057572,6161685500,이지원
주홍글씨,10057572,6648786000,이지원
서울역,10030203,1160035562,배윤호
연평해전,10054821,45566111330,이공희
"맨발의 꿈",20153039,2372206500,장희민
"펜트하우스 코끼리",20153039,1077451000,장희민
건축학개론,20192386,30220536000,조현철
스페어,20112545,287654500,김진원
"돌이킬 수 없는",10065915,465532500,조성규
여배우들,10065915,3776407000,조성규
집행자,10065915,2935796000,조성규
부산,10065915,1172970000,조성규
"이태원 살인사건",10065915,3978029000,조성규
10억,10065915,3107403000,조성규
"거북이 달린다",10065915,20618276000,조성규
키친,10065915,931460100,조성규
"로맨틱 아일랜드",10065915,1006594000,조성규
비몽,10065915,595238500,조성규
"멋진 하루",10065915,2586052500,조성규
"영화는 영화다",10065915,8967441000,조성규
리얼,10057277,3357912530,이정섭
"로맨틱 아일랜드",10057277,1006594000,이정섭
바보,10057277,6306680500,이정섭
가면,10057277,2139483000,이정섭
최강로맨스,10057277,6931136500,이정섭
아랑,10057277,5726173700,이정섭
"사랑을 놓치다",10057277,2961381000,이정섭
경주,10060143,470675000,장률
"한여름의 판타지아",10060025,285388958,장건재
"방황하는 칼날",10057331,7828891800,이정호
베스트셀러,10057331,7983184500,이정호
"용서는 없다",10057331,8597290000,이정호
"슈퍼맨이었던 사나이",10057331,3642176500,이정호
"좋지 아니한가",10057331,1849140000,이정호
"흡혈형사 나도열",10057331,9693558300,이정호
령,10057331,3554937000,이정호
무적자,10050630,11629780500,오우삼
싸움,10050570,2195870500,오영두
황진이,10050570,7763409000,오영두
한반도,10050570,20597497600,오영두
무영검,10050570,3306109500,오영두
"달마야, 서울 가자",10050570,4469579500,오영두
곡성,20113602,55863520382,김의석
가시,10005808,1095301000,김중현
"가족의 탄생",10005808,1220941000,김중현
"라스트 갓파더",10040912,18511991000,심형래
디워,10040912,49340084700,심형래
의뢰인,10036874,17797131500,손영성
극장전,10036874,262191500,손영성
가족,10028506,8051239500,박기용
가족,10028506,1073144500,박기용
대호,20207326,13489904632,김은진
"다이노 타임",20207326,2108596800,김은진
군함도,10019069,50510565168,류승완
베테랑,10019069,105169264250,류승완
베를린,10019069,52355568637,류승완
평양성,10019069,12684530500,류승완
부당거래,10019069,20996302500,류승완
해결사,10019069,13844624000,류승완
다찌마와리,10019069,4114057000,류승완
짝패,10019069,6585188500,류승완
"주먹이 운다(Crying Fist)",10019069,9322812000,류승완
"아라한 장풍대작전",10019069,5207878000,류승완
다찌마와리,10019069,4114057000,류승완
응징자,10005544,1388412500,김정구
"결정적 한방",10005544,439400000,김정구
커플즈,10005544,2705566500,김정구
"죽이고 싶은",10005544,952555500,김정구
"개를 훔치는 완벽한 방법",10004652,2329754965,김성호
"검은 집",10004652,8842295700,김성호
"무서운 이야기 2",10004652,3393767500,김성호
길위에서,10004626,361603500,김성준
"더 테너 리리코 스핀토",10004407,391554441,김상만
"마담 뺑덕",10004407,3728980590,김상만
고지전,10004407,21968680600,김상만
"심야의 F.M.",10004407,9179188500,김상만
파주,10004407,969489100,김상만
걸스카우트,10004407,1545587500,김상만
"그놈 목소리",10004407,17598617600,김상만
조폭마누라3,10004407,8851336500,김상만
중천,10004407,8581442100,김상만
"싸이보그지만 괜찮아",10004407,3983748800,김상만
"구미호 가족",10004407,877984800,김상만
괴물,10004407,64802996000,김상만
괴물,10004407,66715881300,김상만
사생결단,10004407,10934307100,김상만
"맨발의 기봉이",10004407,12239242400,김상만
청연,10004407,3106648400,김상만
태풍,10004407,22209675300,김상만
"6월의 일기",10004407,3645962000,김상만
사랑니,10004407,867603000,김상만
"너는 내 운명",10004407,17653752500,김상만
"이대로, 죽을 순 없다(Short Time)",10004407,4266661500,김상만
"친절한 금자씨",10004407,20483051393,김상만
천군,10004407,5852391000,김상만
"연애의 목적",10004407,9846423390,김상만
"간 큰 가족",10004407,8212961893,김상만
"그때 그 사람들",10004407,5777895500,김상만
"여고괴담 4 : 목소리",10004407,2474641500,김상만
"안녕, 형아",10004407,5614875500,김상만
"혈의 누",10004407,12367486506,김상만
"내 머리 속의 지우개",10004407,11919939500,김상만
분신사바,10004407,3827484000,김상만
"효자동 이발사",10004407,4855872900,김상만
"범죄의 재구성",10004407,6132877000,김상만
"한여름의 판타지아",10000249,285388958,"가와세 나오미"
"바람 바람 바람",20125862,9784385375,이병헌
스물,20125862,23563705686,이병헌
"오늘의 연애",20125862,14924654487,이병헌
"타짜-신의 손",20125862,32373120927,이병헌
"타짜-신의 손",20125862,13217615777,이병헌
"네버엔딩 스토리",20125862,2106823000,이병헌
써니,20125862,54035565100,이병헌
과속스캔들,20125862,53800771400,이병헌
"너의 결혼식",10055945,18044217632,이석근
부라더,10055945,11783109998,이석근
범죄도시,10055945,56322098349,이석근
염력,10049814,7484684112,연상호
서울역,10049814,1160035562,연상호
부산행,10049814,93042352648,연상호
"마이 웨이",20304229,15995187000,김동후
다찌마와리,20304229,4114057000,김동후
짝패,20304229,6585188500,김동후
덕구,20302149,2378021700,방수인
"뷰티풀 선데이",20302149,1123934000,방수인
"왕의 남자",20302149,66014775400,방수인
"달마야, 서울 가자",20302149,4469579500,방수인
걷기왕,10030331,710905075,백승화
게이트,20111176,821271100,신재호
대결,20111176,251176500,신재호
치외법권,20111176,2664941005,신재호
응징자,20111176,1388412500,신재호
"4교시 추리영역",20111176,459533500,신재호
"못말리는 결혼",20111176,7712339500,신재호
"내사랑 싸가지",20111176,1836153500,신재호
"남자가 사랑할 때",20308491,14510222300,조재원
"남자가 사랑할 때",20308490,14510222300,최지현
