﻿pro_rank,title,open_date,total_profit,ticket,total_ticket,screen,screen_shot,make_c,dist_c,mov_class,genre,director,actor,actorS,D,DsumP,DavgP,DminP,DmaxP,mc,MsumP,MavgP,MminP,MmaxP,A,AsumP,AavgP,AminP,AmaxP,Ass,ASsumP,ASavgP,ASminP,ASmaxP
23,1987,2017.12.27,58167040145,7231856,7231856,1299,138220,(주)우정필름,씨제이이앤엠(주),15세이상관람가,드라마,장준환,김윤석,하정우,장준환,58167040145,58167040145,58167040145,58167040145,(주)우정필름,58167040145,58167040145,58167040145,58167040145,김윤석,58167040145,58167040145,58167040145,58167040145,하정우,58167040145,58167040145,58167040145,58167040145
676,1급기밀,2018.1.24,1728722300,218808,218808,512,11359,"(주)미인픽쳐스,(주)미디어모굴",(주)리틀빅픽쳐스,12세이상관람가,드라마,홍기선,김상경,김옥빈,홍기선,1728722300,1728722300,1728722300,1728722300,"(주)미인픽쳐스,(주)미디어모굴",1728722300,1728722300,1728722300,1728722300,김상경,12426703616,6213351808,1728722300,10697981316,김옥빈,1728722300,1728722300,1728722300,1728722300
488,7년의 밤,2018.3.28,3969337524,528007,528007,872,26817,"(주)바른손,씨제이이앤엠(주)",씨제이이앤엠(주),15세이상관람가,"스릴러,드라마",추창민,류승룡,장동건,추창민,3969337524,3969337524,3969337524,3969337524,"(주)바른손,씨제이이앤엠(주)",3969337524,3969337524,3969337524,3969337524,류승룡,11454021636,5727010818,3969337524,7484684112,장동건,14925959359,7462979680,3969337524,10956621835
588,7호실,2017.11.15,2677284639,347790,347790,629,21846,(주)명필름,롯데쇼핑㈜롯데엔터테인먼트,15세이상관람가,코미디,이용승,신하균,도경수,이용승,2677284639,2677284639,2677284639,2677284639,(주)명필름,2677284639,2677284639,2677284639,2677284639,신하균,2677284639,2677284639,2677284639,2677284639,도경수,2677284639,2677284639,2677284639,2677284639
68,강철비,2017.12.14,35489666466,4452755,4452755,1426,80360,"(주)와이웍스엔터테인먼트,(주)모팩앤알프레드",(주)넥스트엔터테인먼트월드(NEW),15세이상관람가,"액션,드라마",양우석,정우성,곽도원,양우석,35489666466,35489666466,35489666466,35489666466,"(주)와이웍스엔터테인먼트,(주)모팩앤알프레드",35489666466,35489666466,35489666466,35489666466,정우성,35489666466,35489666466,35489666466,35489666466,곽도원,45984435411,22992217706,10494768945,35489666466
794,게이트,2018.2.28,821271100,101381,101381,208,5474,삼삼공구 브라더스,(주)제이앤씨미디어그룹,15세이상관람가,"범죄,코미디",신재호,정려원,임창정,신재호,821271100,821271100,821271100,821271100,삼삼공구 브라더스,821271100,821271100,821271100,821271100,정려원,821271100,821271100,821271100,821271100,임창정,821271100,821271100,821271100,821271100
115,곤지암,2018.3.28,21442169144,2675570,2675570,1124,88500,(주)하이브미디어코프,(주)쇼박스,15세이상관람가,"공포(호러),스릴러",정범식,위하준,박지현,정범식,21442169144,21442169144,21442169144,21442169144,(주)하이브미디어코프,36239470782,12079823594,5012916263,21442169144,위하준,21442169144,21442169144,21442169144,21442169144,박지현,21442169144,21442169144,21442169144,21442169144
233,골든슬럼버,2018.2.14,11412768798,1387508,1387508,833,43015,영화사 집,씨제이이앤엠(주),15세이상관람가,"범죄,드라마",노동석,강동원,김의성,노동석,11412768798,11412768798,11412768798,11412768798,영화사 집,11412768798,11412768798,11412768798,11412768798,강동원,18407490971,9203745486,6994722173,11412768798,김의성,11412768798,11412768798,11412768798,11412768798
643,공범자들,2017.8.17,2035223800,260514,260514,246,10978,한국탐사저널리즘센터,(주)엣나인필름,15세이상관람가,다큐멘터리,최승호,이명박,김재철,최승호,2035223800,2035223800,2035223800,2035223800,한국탐사저널리즘센터,2035223800,2035223800,2035223800,2035223800,이명박,2035223800,2035223800,2035223800,2035223800,김재철,2035223800,2035223800,2035223800,2035223800
51,공작,2018.8.8,42267898976,4908146,4908146,1317,93532,"(주)영화사 월광,(주)사나이픽처스",씨제이이앤엠(주),12세이상관람가,드라마,윤종빈,황정민,이성민,윤종빈,42267898976,42267898976,42267898976,42267898976,"(주)영화사 월광,(주)사나이픽처스",63112387385,31556193693,20844488409,42267898976,황정민,92778464144,46389232072,42267898976,50510565168,이성민,42267898976,42267898976,42267898976,42267898976
19,공조,2017.1.18,63783051326,7817618,7817618,1392,142989,"(주)제이케이필름,씨제이이앤엠(주),영화사 이창,(주)에이치비엔터테인먼트",씨제이이앤엠(주),15세이상관람가,액션,김성훈,현빈,유해진,김성훈,63783051326,63783051326,63783051326,63783051326,"(주)제이케이필름,씨제이이앤엠(주),영화사 이창,(주)에이치비엔터테인먼트",63783051326,63783051326,63783051326,63783051326,현빈,95096620121,47548310061,31313568795,63783051326,유해진,63783051326,63783051326,63783051326,63783051326
37,군함도,2017.7.26,50510565168,6592151,6592151,2027,108775,"(주)외유내강,(주)필름케이",씨제이이앤엠(주),15세이상관람가,"액션,드라마",류승완,황정민,김규백,류승완,50510565168,50510565168,50510565168,50510565168,"(주)외유내강,(주)필름케이",50510565168,50510565168,50510565168,50510565168,황정민,92778464144,46389232072,42267898976,50510565168,김규백,50510565168,50510565168,50510565168,50510565168
247,궁합,2018.2.28,10478875438,1340117,1340117,966,52465,(주)주피터필름,씨제이이앤엠(주),12세이상관람가,"코미디,드라마",홍창표,심은경,이승기,홍창표,10478875438,10478875438,10478875438,10478875438,(주)주피터필름,10478875438,10478875438,10478875438,10478875438,심은경,10478875438,10478875438,10478875438,10478875438,이승기,10478875438,10478875438,10478875438,10478875438
87,그것만이 내 세상,2018.1.17,27446302382,3418393,3418393,956,95420,"(주)제이케이필름,씨제이이앤엠(주)",씨제이이앤엠(주),12세이상관람가,"코미디,드라마",최성현,이병헌,윤여정,최성현,27446302382,27446302382,27446302382,27446302382,"(주)제이케이필름,씨제이이앤엠(주)",27446302382,27446302382,27446302382,27446302382,이병헌,58671722174,29335861087,27446302382,31225419792,윤여정,27446302382,27446302382,27446302382,27446302382
923,"그래, 가족",2017.2.15,350293300,46623,46623,361,5294,"(주)청우필름,(주)26컴퍼니,(주)데이드림",월트디즈니컴퍼니코리아 유한책임회사,12세이상관람가,코미디,마대윤,이요원,정만식,마대윤,350293300,350293300,350293300,350293300,"(주)청우필름,(주)26컴퍼니,(주)데이드림",350293300,350293300,350293300,350293300,이요원,350293300,350293300,350293300,350293300,정만식,350293300,350293300,350293300,350293300
244,기억의 밤,2017.11.29,10653271160,1387779,1387779,759,53003,(주)비에이엔터테인먼트,"메가박스중앙(주)플러스엠,주식회사 키위컴퍼니",15세이상관람가,"미스터리,스릴러",장항준,강하늘,김무열,장항준,10653271160,10653271160,10653271160,10653271160,(주)비에이엔터테인먼트,10653271160,10653271160,10653271160,10653271160,강하늘,10653271160,10653271160,10653271160,10653271160,김무열,10653271160,10653271160,10653271160,10653271160
804,김광석,2017.8.30,772483500,98231,98231,223,6265,(주)씨네포트,(주)비엠컬쳐스,15세이상관람가,다큐멘터리,이상호,김광석,이상호,이상호,772483500,772483500,772483500,772483500,(주)씨네포트,772483500,772483500,772483500,772483500,김광석,772483500,772483500,772483500,772483500,이상호,15331501112,7665750556,772483500,14559017612
76,꾼,2017.11.22,31313568795,4018341,4018341,1314,117420,(주)영화사두둥,(주)쇼박스,15세이상관람가,범죄,장창원,현빈,유지태,장창원,31313568795,31313568795,31313568795,31313568795,(주)영화사두둥,31313568795,31313568795,31313568795,31313568795,현빈,95096620121,47548310061,31313568795,63783051326,유지태,31313568795,31313568795,31313568795,31313568795
724,나를 기억해,2018.4.19,1229698892,141072,141072,545,14337,(주)오아시스이엔티,씨네그루(주)키다리이엔티,청소년관람불가,"미스터리,범죄,스릴러",이한욱,이유영,김희원,이한욱,1229698892,1229698892,1229698892,1229698892,(주)오아시스이엔티,1229698892,1229698892,1229698892,1229698892,이유영,1229698892,1229698892,1229698892,1229698892,김희원,1229698892,1229698892,1229698892,1229698892
77,남한산성,2017.10.3,31225419792,3849129,3849129,1229,71102,(주)싸이런픽쳐스,씨제이이앤엠(주),15세이상관람가,"사극,드라마",황동혁,이병헌,김윤석,황동혁,31225419792,31225419792,31225419792,31225419792,(주)싸이런픽쳐스,31225419792,31225419792,31225419792,31225419792,이병헌,58671722174,29335861087,27446302382,31225419792,김윤석,31225419792,31225419792,31225419792,31225419792
148,너의 결혼식,2018.8.22,18044217632,2149108,2149108,969,60544,"(주)필름케이,(주)외유내강",메가박스중앙(주)플러스엠,12세이상관람가,멜로/로맨스,이석근,박보영,김영광,이석근,18044217632,18044217632,18044217632,18044217632,"(주)필름케이,(주)외유내강",18044217632,18044217632,18044217632,18044217632,박보영,18044217632,18044217632,18044217632,18044217632,김영광,18044217632,18044217632,18044217632,18044217632
557,넛잡 2,2017.10.3,3069388100,411787,411787,526,10449,"(주)레드로버,툰박스 엔터테인먼트",롯데쇼핑㈜롯데엔터테인먼트,전체관람가,"애니메이션,어드벤처,코미디,가족",캘런 브런커,윌 아넷,캐서린 헤이글,캘런 브런커,3069388100,3069388100,3069388100,3069388100,"(주)레드로버,툰박스 엔터테인먼트",3069388100,3069388100,3069388100,3069388100,윌 아넷,3069388100,3069388100,3069388100,3069388100,캐서린 헤이글,3069388100,3069388100,3069388100,3069388100
