﻿pro_rank,title,open_date,total_profit,ticket,total_ticket,screen,screen_shot,make_c,dist_c,mov_class,genre,director,actor,actorS,D,DsumP,DavgP,DminP,DmaxP,mc,MsumP,MavgP,MminP,MmaxP,A,AsumP,AavgP,AminP,AmaxP,Ass,ASsumP,ASavgP,ASminP,ASmaxP
993,...ing,2003.11.28,217269000,34264,34264,7,594,드림맥스(주),(주)튜브엔터테인먼트,12세관람가,"드라마,멜로/로맨스",이언희,임수정,김래원,이언희,11074114756,3691371585,217269000,8882181256,드림맥스(주),217269000,217269000,217269000,217269000,임수정,64926584442,9275226349,217269000,34222160500,김래원,25771453899,8590484633,217269000,17718699499
554,10억,2009.8.6,3107403000,433866,433866,252,12744,(주)이든픽쳐스,(주)싸이더스,15세이상관람가,"스릴러,어드벤처",조민호,박해일,신민아,조민호,5064244000,2532122000,1956841000,3107403000,(주)이든픽쳐스,3569428000,1784714000,462025000,3107403000,박해일,96168582346,16028097058,470675000,55827861500,신민아,29524239405,5904847881,470675000,16636404305
659,1724 기방난동사건,2008.12.3,1897970000,288452,288452,340,19036,(주)싸이더스,(주)싸이더스,15세이상관람가,"사극,액션,코미디",여균동,이정재,김석훈,여균동,1897970000,1897970000,1897970000,1897970000,(주)싸이더스,1.56245E+11,7102062500,386192500,32373120927,이정재,45731397483,15243799161,1897970000,34881330905,김석훈,1897970000,1897970000,1897970000,1897970000
998,19-Nineteen,2009.11.12,209955500,32616,32616,64,1875,(주)삼화네트웍스,씨제이엔터테인먼트,12세이상관람가,드라마,장용우,T.O.P,승리,장용우,209955500,209955500,209955500,209955500,(주)삼화네트웍스,1248813500,416271166.7,209955500,637892500,T.O.P,209955500,209955500,209955500,209955500,승리,209955500,209955500,209955500,209955500
172,1번가의 기적,2007.2.14,15494034100,2535431,2535431,340,54562,(주)두사부필름,씨제이엔터테인먼트,15세이상관람가,"드라마,코미디",윤제균,하지원,임창정,윤제균,2.07766E+11,51941472400,312851500,1.10934E+11,(주)두사부필름,37486323493,9371580873,312851500,15494034100,하지원,74798953721,9349869215,363098800,19391653500,임창정,16134377900,8067188950,640343800,15494034100
118,26년,2012.11.29,21242367145,2963652,2963652,611,50679,영화사청어람(주),"(주)인벤트스톤,영화사청어람(주)",15세이상관람가,"액션,드라마",조근현,진구,한혜진,조근현,21759103645,10879551823,516736500,21242367145,영화사청어람(주),1.69708E+11,28284638241,384127000,66715881300,진구,21242367145,21242367145,21242367145,21242367145,한혜진,35752589445,17876294723,14510222300,21242367145
921,2월 29일 - 어느날 갑자기 첫번째 이야기,2006.7.21,354839000,56958,56958,20,960,"(주)소프트랜드 영상 사업부 에이포스트 픽쳐스,씨제이엔터테인먼트",씨제이엔터테인먼트,15세관람가,공포(호러),정종훈,박은혜,백은진,정종훈,354839000,354839000,354839000,354839000,"(주)소프트랜드 영상 사업부 에이포스트 픽쳐스,씨제이엔터테인먼트",354839000,354839000,354839000,354839000,박은혜,354839000,354839000,354839000,354839000,백은진,354839000,354839000,354839000,354839000
880,4교시 추리영역,2009.8.12,459533500,67602,67602,170,4904,스웨이엔터테인먼트,롯데쇼핑㈜롯데엔터테인먼트,15세이상관람가,"공포(호러),스릴러",이상용,김호연,유승호,이상용,459533500,459533500,459533500,459533500,스웨이엔터테인먼트,459533500,459533500,459533500,459533500,김호연,459533500,459533500,459533500,459533500,유승호,23232790500,5808197625,459533500,18390012500
957,4등,2016.4.13,284073700,38234,38234,213,4720,"국가인권위원회,정지우 필름","(주)프레인글로벌,CGV아트하우스",15세이상관람가,드라마,정지우,박해준,이항나,정지우,16061774244,4015443561,284073700,9917948044,"국가인권위원회,정지우 필름",284073700,284073700,284073700,284073700,박해준,284073700,284073700,284073700,284073700,이항나,284073700,284073700,284073700,284073700
841,577 프로젝트,2012.8.30,619287500,85534,85534,191,4496,"(주)다세포클럽,(주)무브픽쳐스,(주)판타지오,(주)숲 엔터테인먼트",필라멘트픽쳐스,15세이상관람가,"코미디,드라마",이근우,하정우,공효진,이근우,619287500,619287500,619287500,619287500,"(주)다세포클럽,(주)무브픽쳐스,(주)판타지오,(주)숲 엔터테인먼트",619287500,619287500,619287500,619287500,하정우,3.30423E+11,27535234710,619287500,57570773000,공효진,17933757000,5977919000,619287500,13200412500
811,5백만불의 사나이,2012.7.19,739789500,104736,104736,331,6393,"(주)하리마오픽쳐스,(주)제이와이피엔터테인먼트,(주)바른손이앤에이",씨제이이앤엠(주),15세이상관람가,코미디,김익로,박진영,조성하,김익로,739789500,739789500,739789500,739789500,"(주)하리마오픽쳐스,(주)제이와이피엔터테인먼트,(주)바른손이앤에이",739789500,739789500,739789500,739789500,박진영,739789500,739789500,739789500,739789500,조성하,739789500,739789500,739789500,739789500
339,6년째 연애중,2008.2.5,7422697000,1112238,1112238,326,27465,(주)피카소필름,(주)스튜디오210,15세이상관람가,"멜로/로맨스,드라마",박현진,김하늘,윤계상,박현진,13995471337,6997735669,6572774337,7422697000,(주)피카소필름,7422697000,7422697000,7422697000,7422697000,김하늘,56111597000,11222319400,363240500,26380710000,윤계상,7422697000,7422697000,7422697000,7422697000
506,6월의 일기,2005.12.1,3645962000,593867,593867,169,15249,(주)필름앤픽쳐스,(주)쇼박스,15세관람가,"드라마,범죄",임경수,신은경,이상기,임경수,3645962000,3645962000,3645962000,3645962000,(주)필름앤픽쳐스,3645962000,3645962000,3645962000,3645962000,신은경,3645962000,3645962000,3645962000,3645962000,이상기,3645962000,3645962000,3645962000,3645962000
