,날짜,요일,영화명,매출액,매출액점유율,매출액증감,누적매출액,관객수,관객수증감,누적관객수,스크린수,상영횟수
0,2018년 01월 01일,mon,신과함께-죄와 벌,"7,715,346,100",52.9%,"-852,824,100
(-10.0%)","76,065,842,532","916,689","-107,268
(-10.5%)","9,456,184","1,644","7,957"
1,2018년 01월 01일,mon,1987,"4,460,740,100",30.6%,"-224,343,200
(-4.8%)","19,714,744,137","531,520","-28,526
(-5.1%)","2,473,597","1,097","4,982"
2,2018년 01월 01일,mon,강철비,"944,300,600",6.5%,"-48,744,300
(-4.9%)","32,939,198,166","114,310","-6,536
(-5.4%)","4,128,603",602,"1,451"
3,2018년 01월 01일,mon,위대한 쇼맨,"509,959,700",3.5%,"25,360,100
(5.2%)","7,166,998,900","60,072","2,404
(4.2%)","874,659",432,843
4,2018년 01월 01일,mon,극장판 포켓몬스터 너로 정했다!,"262,886,500",1.8%,"-7,375,400
(-2.7%)","3,380,416,200","34,103","-1,037
(-3.0%)","449,358",417,605
5,2018년 01월 01일,mon,몬스터 패밀리,"205,793,300",1.4%,"4,588,900
(2.3%)","2,736,976,000","26,521","128
(0.5%)","368,135",342,463
6,2018년 01월 01일,mon,원더,"158,549,600",1.1%,"-12,511,700
(-7.3%)","790,939,300","19,322","-1,612
(-7.7%)","101,002",183,378
7,2018년 01월 01일,mon,뽀로로 극장판 공룡섬 대모험,"109,207,600",0.7%,"60,400
(0.1%)","5,958,096,200","13,750","-3
(0.0%)","787,493",195,270
8,2018년 01월 01일,mon,극장판 프리파라 모두의 경♪ 렛츠고☆프리파리,"47,882,900",0.3%,"-4,968,200
(-9.4%)","327,731,800","5,940","-693
(-10.4%)","42,390",166,246
9,2018년 01월 01일,mon,스타워즈: 라스트 제다이,"35,090,500",0.2%,"-4,164,800
(-10.6%)","8,570,976,561","3,298","-357
(-9.8%)","949,845",35,42
0,2018년 01월 02일,tue,신과함께-죄와 벌,"2,205,552,800",44.5%,"-5,509,793,300
(-71.4%)","78,271,395,332","294,360","-622,329
(-67.9%)","9,750,544","1,446","7,019"
1,2018년 01월 02일,tue,1987,"1,643,446,600",33.1%,"-2,817,293,500
(-63.2%)","21,358,190,737","217,249","-314,271
(-59.1%)","2,690,846","1,063","5,044"
2,2018년 01월 02일,tue,강철비,"358,155,600",7.2%,"-586,145,000
(-62.1%)","33,297,353,766","48,123","-66,187
(-57.9%)","4,176,726",580,"1,541"
3,2018년 01월 02일,tue,위대한 쇼맨,"269,267,500",5.4%,"-240,692,200
(-47.2%)","7,436,266,400","35,182","-24,890
(-41.4%)","909,841",444,949
4,2018년 01월 02일,tue,극장판 포켓몬스터 너로 정했다!,"123,797,500",2.5%,"-139,089,000
(-52.9%)","3,504,213,700","17,929","-16,174
(-47.4%)","467,287",371,510
5,2018년 01월 02일,tue,몬스터 패밀리,"86,870,000",1.8%,"-118,923,300
(-57.8%)","2,823,846,000","12,678","-13,843
(-52.2%)","380,813",298,386
6,2018년 01월 02일,tue,원더,"85,593,600",1.7%,"-72,956,000
(-46.0%)","876,532,900","11,397","-7,925
(-41.0%)","112,399",173,512
7,2018년 01월 02일,tue,뽀로로 극장판 공룡섬 대모험,"50,359,500",1.0%,"-58,848,100
(-53.9%)","6,008,455,700","7,200","-6,550
(-47.6%)","794,693",156,217
8,2018년 01월 02일,tue,극장판 프리파라 모두의 경♪ 렛츠고☆프리파리,"23,536,500",0.5%,"-24,346,400
(-50.8%)","351,268,300","3,305","-2,635
(-44.4%)","45,695",148,225
9,2018년 01월 02일,tue,스타워즈: 라스트 제다이,"38,465,000",0.8%,"3,374,500
(9.6%)","8,609,441,561","2,914","-384
(-11.6%)","952,759",37,63
0,2018년 01월 03일,wed,신과함께-죄와 벌,"1,622,679,700",32.9%,"-582,873,100
(-26.4%)","79,894,075,032","215,997","-78,363
(-26.6%)","9,966,541","1,241","5,724"
1,2018년 01월 03일,wed,1987,"1,329,406,000",26.9%,"-314,040,600
(-19.1%)","22,687,596,737","174,991","-42,258
(-19.5%)","2,865,837",964,"4,231"
2,2018년 01월 03일,wed,쥬만지: 새로운 세계,"946,061,400",19.2%,"946,061,400
(100.0%)","967,156,400","124,782","124,782
(100.0%)","127,356",724,"3,110"
3,2018년 01월 03일,wed,페르디난드,"377,633,000",7.7%,"377,633,000
(100.0%)","389,883,000","55,644","55,644
(100.0%)","57,302",496,956
4,2018년 01월 03일,wed,강철비,"216,057,300",4.4%,"-142,098,300
(-39.7%)","33,513,411,066","28,596","-19,527
(-40.6%)","4,205,322",518,"1,225"
5,2018년 01월 03일,wed,위대한 쇼맨,"197,451,900",4.0%,"-71,815,600
(-26.7%)","7,633,718,300","25,851","-9,331
(-26.5%)","935,692",366,833
6,2018년 01월 03일,wed,극장판 포켓몬스터 너로 정했다!,"48,771,800",1.0%,"-75,025,700
(-60.6%)","3,552,985,500","7,052","-10,877
(-60.7%)","474,339",153,178
7,2018년 01월 03일,wed,원더,"33,562,000",0.7%,"-52,031,600
(-60.8%)","910,094,900","4,560","-6,837
(-60.0%)","116,959",128,258
8,2018년 01월 03일,wed,뽀로로 극장판 공룡섬 대모험,"27,520,000",0.6%,"-22,839,500
(-45.4%)","6,035,975,700","4,024","-3,176
(-44.1%)","798,717",87,111
9,2018년 01월 03일,wed,몬스터 패밀리,"23,183,700",0.5%,"-63,686,300
(-73.3%)","2,847,029,700","3,466","-9,212
(-72.7%)","384,279",98,105
0,2018년 01월 04일,thu,신과함께-죄와 벌,"1,629,937,600",34.5%,"7,257,900
(0.4%)","81,524,012,632","217,039","1,042
(0.5%)","10,183,580","1,226","5,525"
