,filmoNames,peopleCd,peopleNm,repRoleNm
0,어둔 밤,20309050,오수경,배우
1,어둔 밤,20309049,김상훈,배우
2,어둔 밤,20308997,이요셉,배우
3,어둔 밤,20308996,송의성,배우
4,기동전사 건담 썬더볼트: 밴디트 플라워|기동전사 건담 썬더볼트: 디셈버 스카이,10090472,후루카와 유리나,배우
5,기동전사 건담 썬더볼트: 밴디트 플라워|기동전사 건담 썬더볼트: 디셈버 스카이,10007164,나카무라 유이치,배우
6,"유리정원|그래, 가족|마돈나|성실한 나라의 앨리스|픽업 아티스트|청춘예찬|그 여자 그 남자의 속사정|뷰티풀 선데이|쓰리룸|날아라 닭!",20293789,정애화,배우
7,,20309030,알리야 콘리,배우
8,,20308994,시아라 쟈나,배우
9,"식구|대장 김창수|대결|위험한 상견례 2|해적: 바다로 간 산적|끝까지 간다|더 파이브|깡철이|은밀하게 위대하게|바람과 함께 사라지다|차형사|시체가 돌아왔다|하울링|적과의 동침|평양성|방가? 방가!|구르믈 버서난 달처럼|애자|킹콩을 들다|거북이 달린다|신기전|님은 먼 곳에|더 게임|즐거운 인생|날아라 허동구|동갑내기 과외하기 레슨 2|라디오 스타|잘 살아보세|사생결단|구세주|왕의 남자|달마야, 서울 가자|아홉살 인생|황산벌|와일드 카드|챔피언|복수는 나의 것|일팔일팔(1818)",10040580,신정근,배우
10,"흥부: 글로 세상을 바꾼 자|대장 김창수|풀잎들|내안의 그놈|클레어의 카메라|판도라|그랜드파더|시간이탈자|강남 1970|국제시장|찌라시: 위험한 소문|또 하나의 약속|7번방의 선물|반창꼬|특수본|평양성|이태원 살인사건|님은 먼 곳에|즐거운 인생|별빛 속으로|날아라 허동구|왕의 남자|철수♡영희|달마야, 서울 가자|황산벌|와일드 카드|달마야 놀자|킬러들의 수다|교도소 월드컵|비천무|링|약속|초록물고기|테러리스트|세번째 시선|닫힌 교문을 열며",10062279,정진영,배우
11,,20309029,에리카 링거,배우
12,"창궐|대장 김창수|보통사람|검객|그래, 가족|아수라|내부자들: 디 오리지널|대호|내부자들|간신|베테랑|헬머니|허삼관|군도: 민란의 시대|끝까지 간다|남자가 사랑할 때|사선의 끝|7번방의 선물|간첩|은교|시체가 돌아왔다|특수본|카운트다운|가문의 영광4 - 가문의 수난|모비딕|수상한 고객들|황해|우리 만난 적 있나요|부당거래|심야의 F.M.|파주|똥파리|영화는 영화다|극락도 살인사건|수|예의없는 것들|살결|오로라 공주|잠복근무|총 냄새|여기자의 하루|원 나잇 스탠드",10061699,정만식,배우
13,"나를 기억해|지하주차장|통 메모리즈|가을 우체국|날, 보러와요|치욕일기|무뢰한|관계없는 우주|폭력의 틈|12번째 보조사제|난 널 알아|밥덩이|오오단편극장 - 이학주 배우전",20223186,이학주,배우
14,"극한직업|암전|범죄도시|특별시민|극적인 하룻밤|도리화가|찌라시: 위험한 소문|관능의 법칙|개들의 전쟁|아부의 왕|화차|풍산개|마마|좋은 놈, 나쁜 놈, 이상한 놈 ",20137049,진선규,배우
15,더 펜션|챔피언|채비|범죄도시|무뢰한|트러블 트레블러|가시|찌라시: 위험한 소문|톱스타|공범|마이 라띠마|내 깡패 같은 애인|내 사랑 내 곁에|핸드폰|추격자|궁녀|내 생애 최악의 남자|검은 집|그놈 목소리|너는 내 운명|바코드맘|아빠가 딸에게 처음 운전대를 맡긴 날,20152472,유지연,배우
16,"반드시 잡는다|아티스트: 다시 태어나다|눈길|네버엔딩 스토리|량강도 아이들|식객2 : 김치전쟁|비상|모던보이|두 사람이다|한반도|백만장자의 첫사랑|사랑해, 말순씨|간 큰 가족|여고생 시집가기|바람의 전설|하얀방|일단뛰어|복수는 나의 것|공공의 적|교도소 월드컵|신사동 제비|아웃 오브 포커스|인류멸망 보고서",10057816,이칸희,배우
17,아들에게 가는 길|메이드 인 차이나|만신|별일아니다|서울|은하해방전선|산책|그림자도 없다|할 수 있는 자가 구하라|황금시대,20197008,김은주,배우
18,프레스|굿바이 싱글|흔들리는 물결|엽기적인 그녀 2|경성학교: 사라진 소녀들|카트,20288749,목규리,배우
19,아들에게 가는 길,20266989,이로운,배우
20,아들에게 가는 길|명량,20197663,서성광,배우
21,이수아|판타스틱 휴가 백서 : 삼천포 가는 길|원스텝|소녀의 세계,20282649,조수하,배우
22,인랑|반드시 잡는다|침묵|보통사람|임금님의 사건수첩|원라인|공조|찌라시: 위험한 소문|집으로 가는 길|용의자X|몸 값|누구의 아이가 울고 있나|지금 당장 유학을 가야해!|지금 당장 보건증이 필요해!,20231468,박형수,배우
23,반드시 잡는다,20256589,김혜인,배우
24,지구인의 연애론,20308993,이창엽,배우
25,반드시 잡는다|루시드 드림|퇴마: 무녀굴|간신|베테랑|배꼽|이웃사람|백프로|부당거래|악마를 보았다|죽이고 싶은|불꽃처럼 나비처럼|GP 506|좋지 아니한가|삼거리극장|비열한 거리|혈의 누|주먹이 운다(Crying Fist)|인형사|범죄의 재구성|말죽거리 잔혹사|2009로스트메모리즈|자유여자|쫄병수첩|며느리 밥풀꽃에 대한 보고서|지금은 양지|이장호의 외인구단 2|돌쇠바람|청(블루스케치),10071900,천호진,배우
26,지구인의 연애론,20308992,엄태형,배우
27,"실종2|역모-반란의 시대|화끈한 써비스: 어느 잔인한 미용사의|놈이 온다|남자사용설명서|미쓰GO|백프로|핑크|나는 아빠다|평양성|쩨쩨한 로맨스|정승필 실종사건|마린보이|1724 기방난동사건|날나리 종부전|날아라 허동구|이장과 군수|허브|미녀는 괴로워|다세포소녀|구세주|여름이 시키는대로|여선생 VS 여제자|달마야, 서울 가자|황산벌|조폭마누라2-돌아온 전설|오! 브라더스|화성으로 간 사나이|란의 연가|유아독존|남자 태어나다|라이터를 켜라|네발가락|재밌는 영화|달마야 놀자|신라의 달밤|반칙왕|주유소 습격사건|인정사정 볼 것 없다|투캅스 3",10056895,이원종,배우
28,지구인의 연애론,20309010,현진호,배우
29,"더 펜션|범죄도시|시간위의 집|중2라도 괜찮아|프리즌|비정규직 특수요원|역모-반란의 시대|날, 보러와요|그날의 분위기|내부자들: 디 오리지널|내부자들|살인의뢰|워킹걸|아빠를 빌려드립니다|용의자|미스터 고|7번방의 선물|특수본|체포왕|그대를 사랑합니다|황해|불량남녀|미스터좀비|아저씨|부산|국가대표|작전|마린보이|스토리 오브 와인|중천|사랑 따윈 필요 없어|그때 그 사람들|안녕! 유에프오|독개구리",10066926,조재윤,배우
30,지구인의 연애론,20308991,백재호,배우
31,역모-반란의 시대|나탈리,20100017,김지훈,배우
32,지구인의 연애론,20309009,임투철,배우
33,더 펜션|괴물들|아기와 나|커튼콜|해적: 바다로 간 산적|일대일|남쪽으로 간다|백야,20124322,이이경,배우
34,"허스토리|꾼|원라인|당신, 거기 있어줄래요|어떤살인|막걸스|밤의 여왕|소원",20231467,안세하,배우
35,지구인의 연애론|나의 절친 악당들,20210387,샘 오취리,배우
36,지구인의 연애론,20308990,김연진,배우
37,꾼,10091208,나나,배우
38,로마서 8:37|엄마는 창녀다|페어러브|좋은 배우|불한당들,10058133,이현호,배우
39,채비|쇠파리|연평해전|짓|베사메무쵸,10006557,김희정,배우
40,진범|채비|히말라야|퇴마: 무녀굴|돈 크라이 마미|가비|네버엔딩 스토리|글러브|이끼|검은 집|가발|4인용 식탁|빤스 벗고 덤벼라 ,10053708,유선,배우
41,채비|바라던 바다|그랑프리|굿모닝 프레지던트|가족의 탄생|엄마|도마 안중근|인어 공주|이혼하지 않은 여자|나의 아내를 슬프게 하는 것들|1990년 자유부인|푸른계절의 열기|질투|두 여인|깃발없는 기수|아침에 퇴근하는 여자|유혹,10001486,고두심,배우
42,킹메이커: 선거판의 여우(가제)|패러사이트|미옥|PMC|임금님의 사건수첩|성난 변호사|끝까지 간다|우리 선희|누구의 딸도 아닌 해원|내 아내의 모든 것|화차|체포왕|쩨쩨한 로맨스|옥희의 영화|파주|로맨틱 아일랜드|밤과 낮|우리 동네|잔혹한 출근|손님은 왕이다|사과|에로틱 번뇌 보이|알포인트|인어 공주|국화꽃 향기|쇼쇼쇼(Show Show Show)|보스 상륙 작전(Boss X File)|좋은사람있으면 소개시켜줘|서프라이즈|일단뛰어|첩첩산중|히치하이킹|어떤 방문|최진성 단편 콜렉션 1|최진성 단편 콜렉션 2,10055970,이선균,배우
43,국가부도의 날|미옥|굿바이 싱글|차이나타운|관상|도둑들|도둑들 영화를 만들다|이층의 악당|모던보이|열한번째 엄마|좋지 아니한가|바람피기 좋은 날|타짜|분홍신|얼굴 없는 미녀|YMCA야구단|쓰리|쓰리 메모리즈|신라의 달밤|닥터 K|투 타이어드 투 다이|찜|미스터 콘돔|닥터 봉|남자는 괴로워|영원한 제국|블루 시걸|첫사랑|잃어버린 너|오세암(극영화)|어른들은 몰라요|그 마지막 겨울|수렁에서 건진 내 딸 2|깜보|즐거운 나의 집,10006380,김혜수,배우
44,너의 결혼식|18: 우리들의 성장 느와르|설인|의형제,10005693,차엽,배우
45,폭력의 씨앗|프랑스 영화처럼|조류인간|오하이오 삿포로|도화지|고양이를 돌려줘|검지손가락,10036672,소이,배우
46,1987|폭력의 씨앗|특별시민|지옥도|메이드 인 차이나,20283730,정재윤,배우
47,폭력의 씨앗|재회|양치기들|복무태만,20283729,이가섭,배우
48,기묘한 가족|침묵|용순|특별시민|차이나타운|방황하는 칼날|우아한 거짓말|오오단편극장 - 이학주 배우전,20195643,이수경,배우
49,"힘을 내요, 미스터 리(가제)|배심원들|더 펜션|침묵|파파좀비|출중한 여자|썸남썸녀|숙희|48미터|숫호구|커플즈|오프 로드|피는 멈추지 않는다|말로는 힘들어|신동양 수-퍼맨|괜찮아 괜찮아|무서운 이야기",10067417,조한철,배우
50,극한직업|부라더|원라인|재심|공조|럭키|도리화가|뷰티 인사이드|베테랑|패션왕|타짜-신의 손|우는 남자|청춘예찬|집으로 가는 길|밤의 여왕|감시자들|남쪽으로 튀어,20186095,이동휘,배우
51,메소드|살인의뢰|이쁜 것들이 되어라|수상한 이웃들|고死 두 번째 이야기: 교생실습|굿바이 마이 스마일|나쁜 마음|세이버,20133942,윤승아,배우
