,Unnamed: 0,date,day,movieNm,profit,profitPerc,profitAcc,audiCnt,audiAcc,scrnCnt,showCnt,rainfall,temperature
0,0,2012-07-01,sun,어메이징 스파이더맨,4595645000,0.723,15233119200,509439,1701489,1107,5810,0.0,21.6
1,1,2012-07-01,sun,마다가스카3 : 이번엔 서커스다!,395133000,0.062,11259702500,54273,1446322,398,990,0.0,21.6
2,2,2012-07-01,sun,내 아내의 모든 것,274991000,0.043,32793404000,35473,4395678,237,787,0.0,21.6
3,3,2012-07-01,sun,후궁 : 제왕의 첩,273896500,0.043,18087275500,35447,2458905,316,1216,0.0,21.6
4,4,2012-07-01,sun,캐빈 인 더 우즈,259264000,0.041,997922500,32991,131502,284,1089,0.0,21.6
5,5,2012-07-01,sun,미쓰GO,214119000,0.034,4048154000,28173,553917,292,1095,0.0,21.6
6,6,2012-07-01,sun,아부의 왕,158589000,0.025,3081534500,21222,433131,253,852,0.0,21.6
7,7,2012-07-01,sun,차형사,51719000,0.008,9640469296,7005,1330352,104,264,0.0,21.6
8,8,2012-07-01,sun,락아웃: 익스트림미션,17478000,0.003,3345194500,2313,458088,69,160,0.0,21.6
9,9,2012-07-01,sun,두 번의 결혼식과 한 번의 장례식,15782500,0.002,265716200,1993,35168,34,58,0.0,21.6
10,0,2012-07-02,mon,어메이징 스파이더맨,1331241500,0.653,16564360700,154745,1856234,992,4918,NaN,24.0
11,1,2012-07-02,mon,후궁 : 제왕의 첩,129198000,0.063,18216473500,18838,2477743,309,1333,NaN,24.0
12,2,2012-07-02,mon,내 아내의 모든 것,129481000,0.064,32922885000,18658,4414336,236,880,NaN,24.0
13,3,2012-07-02,mon,캐빈 인 더 우즈,129266000,0.063,1127188500,17956,149458,263,1211,NaN,24.0
14,4,2012-07-02,mon,미쓰GO,93795500,0.046,4141949500,13945,567862,292,1191,NaN,24.0
15,5,2012-07-02,mon,아부의 왕,78081000,0.038,3159615500,12517,445648,278,923,NaN,24.0
16,6,2012-07-02,mon,마다가스카3 : 이번엔 서커스다!,31028000,0.015,11290730500,4335,1450657,179,334,NaN,24.0
17,7,2012-07-02,mon,차형사,25359500,0.012,9665828796,3688,1334040,115,328,NaN,24.0
18,8,2012-07-02,mon,더 레이븐,9952000,0.005,11770000,1548,1851,7,7,NaN,24.0
19,9,2012-07-02,mon,두 개의 달,7936000,0.004,12498000,1312,2046,5,7,NaN,24.0
20,0,2012-07-03,tue,어메이징 스파이더맨,1281616000,0.638,17845976700,149478,2005712,987,4873,25.0,22.7
21,1,2012-07-03,tue,내 아내의 모든 것,140165500,0.07,33063050500,20378,4434714,239,879,25.0,22.7
22,2,2012-07-03,tue,후궁 : 제왕의 첩,132257500,0.066,18348731000,19517,2497260,306,1344,25.0,22.7
23,3,2012-07-03,tue,캐빈 인 더 우즈,131446500,0.065,1258635000,18446,167904,262,1227,25.0,22.7
24,4,2012-07-03,tue,미쓰GO,88875000,0.044,4230824500,13175,581037,290,1174,25.0,22.7
25,5,2012-07-03,tue,아부의 왕,74335000,0.037,3233950500,11234,456882,275,933,25.0,22.7
26,6,2012-07-03,tue,마다가스카3 : 이번엔 서커스다!,36524500,0.018,11327255000,5317,1455974,186,348,25.0,22.7
27,7,2012-07-03,tue,차형사,25521500,0.013,9691350296,3673,1337713,112,323,25.0,22.7
28,8,2012-07-03,tue,두 개의 문,10681800,0.005,130604500,1621,18171,26,52,25.0,22.7
29,9,2012-07-03,tue,연가시,10003000,0.005,30637000,1429,4236,7,7,25.0,22.7
30,0,2012-07-04,wed,어메이징 스파이더맨,1295085000,0.642,19141061700,152566,2158278,989,4878,0.3,24.4
31,1,2012-07-04,wed,내 아내의 모든 것,141670000,0.07,33204720500,20525,4455239,247,889,0.3,24.4
32,2,2012-07-04,wed,후궁 : 제왕의 첩,130773500,0.065,18479504500,19038,2516298,313,1317,0.3,24.4
33,3,2012-07-04,wed,캐빈 인 더 우즈,126348500,0.063,1384983500,17635,185539,264,1227,0.3,24.4
34,4,2012-07-04,wed,아부의 왕,80729500,0.04,3314680000,12263,469145,282,934,0.3,24.4
35,5,2012-07-04,wed,미쓰GO,80546000,0.04,4311370500,11822,592859,285,1169,0.3,24.4
36,6,2012-07-04,wed,마다가스카3 : 이번엔 서커스다!,42075500,0.021,11369330500,6227,1462201,186,357,0.3,24.4
37,7,2012-07-04,wed,차형사,31773000,0.016,9723123296,4763,1342476,117,335,0.3,24.4
