rank,mname,director,provider,date,country,n_scrn,guest,genre,rating,grade,actor,director_score,director_grade,actor_score,actor_grade,grene_score,grene_grade,provider1_power,providera_grade,provider2_power,providerb_grade
1,명량,김한민,씨제이이앤엠(주),2014-07-30,한국,1587,17613682,사극,15세이상관람가,8.47,최민식|류승룡|조진웅|,19.94668544,a,12.3870478,a,3.336487371,d,16.58469,a,16.58469,a
2,신과함께-죄와 벌,김용화,롯데쇼핑㈜롯데엔터테인먼트,2017-12-20,한국,1912,14410931,판타지,12세이상관람가,7.85,하정우|차태현|주지훈|김향기|김동욱|마동석|,16.50288644,b,9.926734485,c,1.604409874,,11.42832,a,11.42832,a
3,국제시장,윤제균,씨제이이앤엠(주),2014-12-17,한국,966,14245998,드라마,12세이상관람가,9.01,황정민|김윤진|오달수|정진영|,19.94668544,c,12.98801635,a,3.619562379,c,16.58469,a,16.58469,a
4,베테랑,류승완,씨제이이앤엠(주),2015-08-05,한국,1064,13395400,액션,15세이상관람가,9.01,황정민|유아인|유해진|오달수|,19.94668544,a,14.6520798,a,3.091504585,e,16.58469,a,16.58469,a
5,도둑들,최동훈,(주)쇼박스,2012-07-25,한국,1072,12983330,액션,15세이상관람가,7.6,김윤석|김혜수|이정재|전지현|임달화|김해숙|오달수|김수현|이신제|증국상|,7.542282897,a,10.21103116,b,2.048234687,,9.42794,a,9.42794,a
6,7번방의 선물,이환경,(주)넥스트엔터테인먼트월드(NEW),2013-01-23,한국,787,12811206,코미디,15세이상관람가,8.85,류승룡|박신혜|갈소원|오달수|박원상|김정태|정만식|김기천|,11.44485874,c,9.731509474,c,2.119659045,,9.28721,a,9.28721,a
7,암살,최동훈,(주)쇼박스,2015-07-22,한국,1519,12705700,액션,15세이상관람가,8.97,전지현|이정재|하정우|,7.542282897,a,12.95161988,a,3.091504585,e,9.42794,a,9.42794,a
8,"광해, 왕이 된 남자",추창민,씨제이이앤엠(주),2012-09-13,한국,810,12319542,사극,15세이상관람가,9.23,이병헌|류승룡|한효주|,19.94668544,c,11.79872578,b,3.6885259,b,16.58469,a,16.58469,a
9,택시운전사,장훈,(주)쇼박스,2017-08-02,한국,1906,12099971,드라마,15세이상관람가,9.06,송강호|토마스 크레취만|유해진|류준열|,7.542282897,b,10.70030703,b,3.619562379,c,9.42794,a,9.42794,a
10,부산행,연상호,(주)넥스트엔터테인먼트월드(NEW),2016-07-20,한국,1788,11565078,액션,15세이상관람가,8,공유|정유미|마동석|김수안|김의성|최우식|안소희|,11.44485874,c,8.044677569,d,1.992455235,,9.28721,a,9.28721,a
11,변호인,양우석,(주)넥스트엔터테인먼트월드(NEW),2013-12-18,한국,923,11372451,드라마,15세이상관람가,8.98,송강호|김영애|오달수|곽도원|임시완|,11.44485874,b,11.55042648,b,3.619562379,c,9.28721,a,9.28721,a
12,어벤져스: 인피니티 워,"안소니 루소,조 루소",월트디즈니컴퍼니코리아 유한책임회사,2018-04-25,미국,2553,11202737,액션,12세이상관람가,8.96,크리스 프랫|조 샐다나|브래들리 쿠퍼|빈 디젤|조슈 브롤린|엘리자베스 올슨|베네딕트 컴버배치|스칼렛 요한슨|톰 홀랜드|로버트 다우니 주니어|크리스 헴스워스|크리스 에반스|마크 러팔로|톰 히들스턴|폴 베타니|돈 치들|채드윅 보스만|데이브 바티스타|안소니 마키|,2.335966655,a,8.847364342,d,1.70034852,,4.16559,c,4.16559,c
13,어벤져스: 에이지 오브 울트론,조스 웨던,월트디즈니컴퍼니코리아(주),2015-04-23,미국,1843,10494499,액션,12세이상관람가,8.31,로버트 다우니 주니어|크리스 헴스워스|마크 러팔로|크리스 에반스|스칼렛 요한슨|제레미 레너|돈 치들|제임스 스페이더|사무엘 L. 잭슨|,2.371793167,b,10.46579964,b,1.70034852,,4.33116,c,4.33116,c
14,겨울왕국,"크리스 벅,제니퍼 리",소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),2014-01-16,미국,1010,10296101,애니메이션,전체관람가,9.12,크리스틴 벨|이디나 멘젤|,3.693503506,d,6.401376878,,0.894531574,,3.6996,c,3.6996,c
15,인터스텔라,크리스토퍼 놀란,워너브러더스 코리아(주),2014-11-06,미국,1342,10273803,SF,12세이상관람가,9.09,매튜 맥커너히|앤 해서웨이|마이클 케인|제시카 차스테인|,8.031584609,b,7.688638308,,0.638686766,,7.12231,b,7.12231,b
16,검사외전,이일형,(주)쇼박스,2016-02-03,한국,1812,9699092,범죄,15세이상관람가,7.94,황정민|강동원|,7.542282897,d,13.07169685,a,1.054721975,,9.42794,a,9.42794,a
17,관상,한재림,(주)쇼박스,2013-09-11,한국,1190,9134586,사극,15세이상관람가,7.97,송강호|이정재|백윤식|조정석|이종석|김혜수|,7.542282897,b,9.777141563,c,3.6885259,b,9.42794,a,9.42794,a
18,아이언맨 3,쉐인 블랙,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),2013-04-25,미국,1381,9001309,액션,12세이상관람가,8.85,로버트 다우니 주니어|기네스 팰트로|벤 킹슬리|돈 치들|가이 피어스|레베카 홀|,3.693503506,d,8.084184673,d,1.775890899,,3.6996,c,3.6996,c
19,설국열차,봉준호,씨제이이앤엠(주),2013-08-01,한국,1128,8914845,SF,15세이상관람가,7.97,크리스 에반스|송강호|에드 해리스|존 허트|틸다 스윈튼|제이미 벨|옥타비아 스펜서|이완 브렘너|알리슨 필|고아성|,19.94668544,d,8.04202248,d,1.478998482,,16.58469,a,16.58469,a
20,캡틴 아메리카: 시빌 워,"안소니 루소,조 루소",월트디즈니컴퍼니코리아(주),2016-04-27,미국,1991,8677249,액션,12세이상관람가,8.67,로버트 다우니 주니어|크리스 에반스|스칼렛 요한슨|,2.371793167,a,12.62930943,a,1.735726858,,4.33116,c,4.33116,c
21,수상한 그녀,황동혁,씨제이이앤엠(주),2014-01-22,한국,692,8656397,드라마,15세이상관람가,9,심은경|나문희|박인환|성동일|이진욱|,19.94668544,b,8.681943986,d,3.619562379,c,16.58469,a,16.58469,a
22,해적: 바다로 간 산적,이석훈,롯데쇼핑㈜롯데엔터테인먼트,2014-08-06,한국,838,8646758,어드벤처,12세이상관람가,8.27,김남길|손예진|,16.50288644,a,8.223600597,d,0.928068393,,11.42832,a,11.42832,a
23,공조,김성훈,씨제이이앤엠(주),2017-01-18,한국,976,7817446,액션,15세이상관람가,8.28,현빈|유해진|김주혁|,19.94668544,e,9.435625189,c,2.739466056,f,16.58469,a,16.58469,a
24,트랜스포머 3,마이클 베이,씨제이이앤엠(주),2011-06-29,미국,1409,7784807,액션,12세이상관람가,7.07,샤이아 라보프|로지 헌팅턴 휘틀리|조쉬 더하멜|휴고 위빙|패트릭 뎀시|레너드 니모이|타이레스|존 말코비치|켄 정|프란시스 맥도맨드|존 터투로|,19.94668544,b,5.826218422,,0,,16.58469,a,16.58469,a
25,히말라야,이석훈,씨제이이앤엠(주),2015-12-16,한국,1009,7759473,드라마,12세이상관람가,7.98,황정민|정우|,19.94668544,a,11.62113079,b,3.619562379,c,16.58469,a,16.58469,a
26,미션임파서블:고스트프로토콜,브래드 버드,씨제이이앤엠(주),2011-12-15,미국,1038,7575899,액션,15세이상관람가,8.73,톰 크루즈|제레미 레너|,19.94668544,e,9.416959835,c,0,,16.58469,a,16.58469,a
27,밀정,김지운,워너브러더스 코리아(주),2016-09-07,한국,1444,7487545,액션,15세이상관람가,8.42,송강호|공유|,8.031584609,e,11.56550651,b,2.739466056,f,7.12231,b,7.12231,b
