,filmoNames,peopleCd,peopleNm,repRoleNm,guest,movie_num,guest_rate,Tot_averageN,Tot_medianN,Tot_average0.3,Tot_median,rate
1,"군함도|군함도 감독판|베테랑|베를린|평양성|부당거래|해결사|다찌마와리|감독들, 김기영을 말하다|짝패|주먹이 운다(Crying Fist)|아라한 장풍대작전|오아시스|피도 눈물도 없이|죽거나 혹은 나쁘거나|타임리스|남자니까 아시잖아요?|다찌마와리|현대인|패싸움|4월 단편 상상극장-박정민 헤는 밤|신촌좀비만화|제14회 미쟝센 단편 영화제 류승완 단편 특별전2|다섯 개의 시선|유령",10019069,류승완,감독,27153750,3,9051250,9.109789554,9.475555164,10.00978955,12.47555516,a
2,"도청(가제)|암살|도둑들|전우치|중천|타짜|소년, 천국에 가다|그때 그 사람들|범죄의 재구성|눈물|간결한 여행|스미스씨 브라질에 가다",10072187,최동훈,감독,25689030,2,12844515,8.596177921,8.961943532,9.496177921,11.96194353,a
3,전투|명량: 회오리 바다를 향하여|명량|최종병기 활 감독확장판|최종병기 활|핸드폰|극락도 살인사건|사냥|그렇게 김순임은 강두식을 만났다 ,10006204,김한민,감독,25080658,2,12540329,8.382849137,8.748614748,9.282849137,11.74861475,a
4,어벤져스: 인피니티 워|캡틴 아메리카: 시빌 워|캡틴 아메리카: 윈터 솔져|허니문크래셔|웰컴 투 콜린우드,10065016,조 루소,감독,23843206,3,7947735.333,7.948930203,8.314695813,8.848930203,11.31469581,a
5,어벤져스: 인피니티 워|캡틴 아메리카: 시빌 워|캡틴 아메리카: 윈터 솔져|허니문크래셔|웰컴 투 콜린우드,10043421,안소니 루소,감독,23843206,3,7947735.333,7.948930203,8.314695813,8.848930203,11.31469581,a
6,히말라야|해적: 바다로 간 산적|뜨거운 안녕|댄싱퀸|두 얼굴의 여친|방과후 옥상|이조여인 숙명사 청상계|순간접착제|포 더 피스 오브 올 맨카인드,10055965,이석훈,감독,20463777,3,6821259,6.763915971,7.129681581,7.663915971,10.12968158,a
7,덩케르크|인터스텔라|트랜센던스|다크 나이트 라이즈|인셉션|다크 나이트|프레스티지|배트맨 비긴즈|인썸니아|메멘토|미행,10077460,크리스토퍼 놀란,감독,19463036,3,6487678.667,6.413000971,6.778766581,7.313000971,9.778766581,a
8,어벤져스: 에이지 오브 울트론|헛소동|캐빈 인 더 우즈|어벤져스|세레니티|에일리언 4,10066368,조스 웨던,감독,17569366,2,8784683,5.748975805,6.114741416,6.648975805,9.114741416,b
9,남한산성|수상한 그녀|도가니|마이 파더|기적의 도로,10090050,황동혁,감독,17149110,3,5716370,5.601610868,5.967376479,6.501610868,8.967376479,b
10,트랜스포머: 최후의 기사|13시간|닌자터틀|트랜스포머: 사라진 시대|페인 앤 게인|트랜스포머 3|트랜스포머: 패자의 역습|트랜스포머|아일랜드|나쁜 녀석들 II|진주만|아마겟돈|더 록 |나쁜 녀석들 ,10023100,마이클 베이,감독,15840036,4,3960009,5.14257731,5.50834292,6.04257731,8.50834292,b
11,강철비|변호인,20167784,양우석,감독,15823802,2,7911901,5.136884774,5.502650384,6.036884774,8.502650384,b
12,신과함께-인과 연|신과함께-죄와 벌|미스터 고|마이 웨이|국가대표 완결판-못 다한 이야기|국가대표|미녀는 괴로워|오! 브라더스|자반고등어,10005151,김용화,감독,15739821,2,7869910.5,5.107436402,5.473202012,6.007436402,8.473202012,b
13,택시운전사|고지전|의형제|영화는 영화다|시간|활|빈집|신부수업|사마리아|헤라퍼플,10060674,장훈,감독,15045108,2,7522554,4.863831701,5.229597311,5.763831701,8.229597311,b
14,더 킹|특종: 량첸살인기|관상|연애의 온도|우아한 세계|연애의 목적|내츄럴시티,10087712,한재림,감독,14450911,2,7225455.5,4.655473454,5.021239064,5.555473454,8.021239064,b
15,공조|좋아해줘|히말라야|국제시장|템플 스테이|스파이|댄싱퀸|7광구|퀵|내 깡패 같은 애인|하모니|시크릿|해운대|색즉시공 시즌2|1번가의 기적|내 생애 가장 아름다운 일주일|간 큰 가족|낭만자객|첫사랑 사수 궐기 대회|색즉시공|도둑맞곤 못살아|두사부일체|신혼여행(身魂旅行),10054492,윤제균,감독,14245998,1,14245998,4.583619652,4.949385263,5.483619652,7.949385263,b
