,pname,guest,cnt,averageG,guest_N,cnt_N,averageG_N,totalsum,averagesum,provider_grade,Tot_Ave_cnt_sum
1,씨제이이앤엠(주),274758541,157,1750054.401,8.636154088,6.724442986,1.224095954,15.36059707,7.94853894,1,16.58469303
2,롯데쇼핑㈜롯데엔터테인먼트,146805466,143,1026611.65,4.612141748,6.113129987,0.703048653,10.72527174,6.81617864,1,11.42832039
3,(주)넥스트엔터테인먼트월드(NEW),136912062,94,1456511.298,4.301002842,3.973534492,1.012676541,8.274537334,4.986211033,1,9.287213875
4,유니버설픽쳐스인터내셔널 코리아(유),81682685,112,729309.6875,2.564087222,4.759508347,0.488921985,7.323595569,5.248430333,1,7.812517555
5,(주)쇼박스,161793003,51,3172411.824,5.083486683,2.095930281,2.248524626,7.179416965,4.344454907,1,9.42794159
6,이십세기폭스코리아(주),95785840,76,1260340,3.007619117,3.187560636,0.87138751,6.195179753,4.058948146,2,7.066567263
7,워너브러더스 코리아(주),104778274,65,1611973.446,3.290423304,2.70724328,1.124645502,5.997666584,3.831888782,2,7.122312086
8,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),46049230,31,1485459.032,1.443446216,1.222625997,1.033525653,2.666072214,2.25615165,3,3.699597867
9,CGV아트하우스,18366237,48,382629.9375,0.57284029,1.964934639,0.239231809,2.537774928,2.204166448,3,2.777006737
10,메가박스중앙(주)플러스엠,29616245,37,800439.0541,0.926643205,1.484617283,0.540151698,2.411260488,2.024768981,3,2.951412187
11,월트디즈니컴퍼니코리아(주),50950594,17,2997093.765,1.597589829,0.611312999,2.122254784,2.208902828,2.733567783,3,4.331157612
12,월트디즈니컴퍼니코리아 유한책임회사,48707657,17,2865156.294,1.527051421,0.611312999,2.027229072,2.13836442,2.63854207,3,4.165593492
13,판씨네마(주),10461506,41,255158.6829,0.324243411,1.659278139,0.147422812,1.98352155,1.806700952,3,2.130944362
14,(주)이수C&E,5983836,41,145947.2195,0.183424604,1.659278139,0.068765119,1.842702744,1.728043258,3,1.911467862
15,(주)리틀빅픽쳐스,7323777,33,221932.6364,0.225564577,1.309956426,0.123492319,1.535521003,1.433448745,4,1.659013322
16,(주)나이너스엔터테인먼트,3609164,35,103118.9714,0.108743246,1.397286854,0.037918803,1.5060301,1.435205658,4,1.543948903
17,씨너스엔터테인먼트(주),4431642,27,164134.8889,0.13460946,1.047965141,0.081864477,1.182574601,1.129829618,4,1.264439078
18,(주)인벤트스톤,4778572,24,199107.1667,0.145520105,0.916969498,0.107052664,1.062489603,1.024022162,4,1.169542267
19,씨네그루(주)키다리이엔티,4691487,24,195478.625,0.142781358,0.916969498,0.104439268,1.059750856,1.021408767,4,1.164190124
20,한국소니픽쳐스릴리징브에나비스타영화㈜,19202399,9,2133599.889,0.599136854,0.261991285,1.500338049,0.861128139,1.762329335,5,2.361466188
