개봉일람 검색,,,,,,,,,,,,,,,,,
검색조건:[조회기간:2011년~2018년 대표국적:전체 영화구분:전체 영화유형:개봉영화],,,,,,,,,,,,,,,,,
순번,영화명,감독,제작사,수입사,배급사,개봉일,영화유형,영화형태,국적,전국스크린수,전국매출액,전국관객수,서울매출액,서울관객수,장르,등급,영화구분
1 ,명량,김한민,(주)빅스톤픽쳐스,,씨제이이앤엠(주),2014-07-30,개봉영화,장편,한국,"1,587 ",135748398910,"17,613,682 ",33121225810,"4,163,666 ",사극,15세이상관람가,상업영화
2 ,신과함께-죄와 벌,김용화,"리얼라이즈픽쳐스(주),(주)덱스터스튜디오",,롯데쇼핑㈜롯데엔터테인먼트,2017-12-20,개봉영화,장편,한국,"1,912 ",115699634137,"14,410,931 ",27530825087,"3,346,172 ",판타지,12세이상관람가,상업영화
3 ,국제시장,윤제균,"(주)제이케이필름,씨제이이앤엠(주)",,씨제이이앤엠(주),2014-12-17,개봉영화,장편,한국,966 ,110828014630,"14,245,998 ",25842519330,"3,233,946 ",드라마,12세이상관람가,상업영화
4 ,베테랑,류승완,"(주)외유내강,(주)필름케이",,씨제이이앤엠(주),2015-08-05,개봉영화,장편,한국,"1,064 ",105024756250,"13,395,400 ",26766369950,"3,290,366 ",액션,15세이상관람가,상업영화
5 ,도둑들,최동훈,(주)케이퍼필름,,(주)쇼박스,2012-07-25,개봉영화,장편,한국,"1,072 ",93665568500,"12,983,330 ",26089426500,"3,468,906 ",액션,15세이상관람가,상업영화
6 ,7번방의 선물,이환경,"(주)화인웍스,(주)씨엘엔터테인먼트",,(주)넥스트엔터테인먼트월드(NEW),2013-01-23,개봉영화,장편,한국,787 ,91431914670,"12,811,206 ",22800931670,"3,070,053 ",코미디,15세이상관람가,상업영화
7 ,암살,최동훈,(주)케이퍼필름,,(주)쇼박스,2015-07-22,개봉영화,장편,한국,"1,519 ",98463132781,"12,705,700 ",25306651181,"3,155,960 ",액션,15세이상관람가,상업영화
8 ,"광해, 왕이 된 남자",추창민,"리얼라이즈픽쳐스(주),씨제이이앤엠(주)",,씨제이이앤엠(주),2012-09-13,개봉영화,장편,한국,810 ,88900208769,"12,319,542 ",25192804727,"3,355,700 ",사극,15세이상관람가,상업영화
9 ,택시운전사,장훈,더램프(주),,(주)쇼박스,2017-08-02,개봉영화,장편,한국,"1,906 ",95284747049,"12,099,971 ",22186916199,"2,729,932 ",드라마,15세이상관람가,상업영화
10 ,부산행,연상호,(주)영화사레드피터,,(주)넥스트엔터테인먼트월드(NEW),2016-07-20,개봉영화,장편,한국,"1,788 ",93175877048,"11,565,078 ",23020827248,"2,754,686 ",액션,15세이상관람가,상업영화
11 ,변호인,양우석,위더스필름(주),,(주)넥스트엔터테인먼트월드(NEW),2013-12-18,개봉영화,장편,한국,923 ,82856578300,"11,372,451 ",22571929000,"2,978,688 ",드라마,15세이상관람가,상업영화
12 ,어벤져스: 인피니티 워,"안소니 루소,조 루소",,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2018-04-25,개봉영화,장편,미국,"2,553 ",99825741869,"11,202,737 ",28565634669,"3,002,038 ",액션,12세이상관람가,상업영화
13 ,어벤져스: 에이지 오브 울트론,조스 웨던,,월트디즈니컴퍼니코리아(주),월트디즈니컴퍼니코리아(주),2015-04-23,개봉영화,장편,미국,"1,843 ",88582586366,"10,494,499 ",25001906266,"2,823,388 ",액션,12세이상관람가,상업영화
14 ,겨울왕국,"크리스 벅,제니퍼 리",,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),2014-01-16,개봉영화,장편,미국,"1,010 ",82461504400,"10,296,101 ",25847243500,"3,003,446 ",애니메이션,전체관람가,상업영화
15 ,인터스텔라,크리스토퍼 놀란,,워너브러더스 코리아(주),워너브러더스 코리아(주),2014-11-06,개봉영화,장편,미국,"1,342 ",82274331200,"10,273,803 ",25500349600,"3,079,036 ",SF,12세이상관람가,상업영화
16 ,검사외전,이일형,"(주)영화사 월광,(주)사나이픽처스",,(주)쇼박스,2016-02-03,개봉영화,장편,한국,"1,812 ",77252755264,"9,699,092 ",18302525664,"2,219,587 ",범죄,15세이상관람가,상업영화
17 ,관상,한재림,"(주)주피터필름,(주)쇼박스",,(주)쇼박스,2013-09-11,개봉영화,장편,한국,"1,190 ",66005451500,"9,134,586 ",19311179000,"2,561,744 ",사극,15세이상관람가,상업영화
18 ,아이언맨 3,쉐인 블랙,파라마운트 픽쳐스,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),2013-04-25,개봉영화,장편,미국,"1,381 ",70806191000,"9,001,309 ",21668935500,"2,595,269 ",액션,12세이상관람가,상업영화
19 ,설국열차,봉준호,"(주)모호필름,오퍼스픽쳐스",,씨제이이앤엠(주),2013-08-01,개봉영화,장편,한국,"1,128 ",64016480000,"8,914,845 ",18975866000,"2,550,437 ",SF,15세이상관람가,상업영화
20 ,캡틴 아메리카: 시빌 워,"안소니 루소,조 루소",,월트디즈니컴퍼니코리아(주),월트디즈니컴퍼니코리아(주),2016-04-27,개봉영화,장편,미국,"1,991 ",72672111827,"8,677,249 ",21248121149,"2,400,069 ",액션,12세이상관람가,상업영화
21 ,수상한 그녀,황동혁,"(주)예인플러스엔터테인먼트,아이앤코스모스(주)시네와이즈필름",,씨제이이앤엠(주),2014-01-22,개봉영화,장편,한국,692 ,62696639249,"8,656,397 ",15358810049,"2,042,110 ",드라마,15세이상관람가,상업영화
22 ,해적: 바다로 간 산적,이석훈,(주)하리마오픽쳐스,,롯데쇼핑㈜롯데엔터테인먼트,2014-08-06,개봉영화,장편,한국,838 ,66240631706,"8,646,758 ",14906345006,"1,868,694 ",어드벤처,12세이상관람가,상업영화
23 ,공조,김성훈,"(주)제이케이필름,씨제이이앤엠(주),영화사 이창,(주)에이치비엔터테인먼트",,씨제이이앤엠(주),2017-01-18,개봉영화,장편,한국,976 ,63781731326,"7,817,446 ",14672808676,"1,744,624 ",액션,15세이상관람가,상업영화
24 ,트랜스포머 3,마이클 베이,,씨제이이앤엠(주),씨제이이앤엠(주),2011-06-29,개봉영화,장편,미국,"1,409 ",74841350500,"7,784,807 ",21746223000,"2,143,018 ",액션,12세이상관람가,상업영화
25 ,히말라야,이석훈,(주)제이케이필름,,씨제이이앤엠(주),2015-12-16,개봉영화,장편,한국,"1,009 ",60173583015,"7,759,473 ",13920553930,"1,738,016 ",드라마,12세이상관람가,상업영화
26 ,미션임파서블:고스트프로토콜,브래드 버드,파라마운트 픽쳐스,씨제이이앤엠(주),씨제이이앤엠(주),2011-12-15,개봉영화,장편,미국,"1,038 ",57795846000,"7,575,899 ",18719283500,"2,347,164 ",액션,15세이상관람가,상업영화
27 ,밀정,김지운,"(주)다크서클픽쳐스,워너브러더스 코리아(주),(주)영화사하얼빈",,워너브러더스 코리아(주),2016-09-07,개봉영화,장편,한국,"1,444 ",61158644831,"7,487,545 ",15436298021,"1,827,424 ",액션,15세이상관람가,상업영화
28 ,최종병기 활,김한민,"(주)디씨지플러스,(주)다세포클럽",,롯데쇼핑㈜롯데엔터테인먼트,2011-08-10,개봉영화,장편,한국,615 ,55808856500,"7,466,976 ",16139541000,"2,059,847 ",사극,15세이상관람가,상업영화
29 ,써니,강형철,"(주)알로하픽쳐스,(주)토일렛픽쳐스",,씨제이이앤엠(주),2011-05-04,개봉영화,장편,한국,472 ,53773170600,"7,328,820 ",15401904600,"2,004,824 ",드라마,15세이상관람가,상업영화
30 ,스파이더맨: 홈 커밍,존 와츠,,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,2017-07-05,개봉영화,장편,미국,"1,965 ",59120173820,"7,257,973 ",16753103620,"1,969,107 ",액션,12세이상관람가,상업영화
31 ,1987,장준환,(주)우정필름,,씨제이이앤엠(주),2017-12-27,개봉영화,장편,한국,"1,299 ",58166310145,"7,231,770 ",14638920495,"1,776,877 ",드라마,15세이상관람가,상업영화
32 ,베를린,류승완,"(주)외유내강,씨제이이앤엠(주)",,씨제이이앤엠(주),2013-01-30,개봉영화,장편,한국,894 ,52354931637,"7,166,199 ",16070379637,"2,118,794 ",액션,15세이상관람가,상업영화
33 ,마스터,조의석,영화사 집,,씨제이이앤엠(주),2016-12-21,개봉영화,장편,한국,"1,501 ",58067927865,"7,150,541 ",14520299965,"1,731,940 ",액션,15세이상관람가,상업영화
34 ,터널,김성훈,"(주)어나더썬데이,(주)비에이엔터테인먼트",,(주)쇼박스,2016-08-10,개봉영화,장편,한국,"1,105 ",57510324417,"7,118,592 ",14121558017,"1,675,010 ",드라마,12세이상관람가,상업영화
35 ,어벤져스,조스 웨던,,한국소니픽쳐스릴리징브에나비스타영화㈜,한국소니픽쳐스릴리징브에나비스타영화㈜,2012-04-26,개봉영화,장편,미국,967 ,59557853478,"7,074,867 ",19280107897,"2,147,619 ",액션,12세이상관람가,상업영화
36 ,내부자들,우민호,(유)내부자들 문화전문회사,,(주)쇼박스,2015-11-19,개봉영화,장편,한국,"1,075 ",56596582057,"7,071,763 ",16340245357,"1,972,885 ",범죄,청소년관람불가,상업영화
37 ,인천상륙작전,이재한,(주)태원엔터테인먼트,,씨제이이앤엠(주),2016-07-27,개봉영화,장편,한국,"1,049 ",55101410303,"7,049,643 ",11459996563,"1,427,944 ",전쟁,12세이상관람가,상업영화
38 ,럭키,이계벽,(주)용필름,,(주)쇼박스,2016-10-13,개봉영화,장편,한국,"1,158 ",56361435256,"6,965,706 ",13812629836,"1,640,015 ",코미디,15세이상관람가,상업영화
39 ,은밀하게 위대하게,장철수,(주)엠씨엠씨,,(주)쇼박스,2013-06-05,개봉영화,장편,한국,"1,341 ",48663939413,"6,953,800 ",12415574413,"1,691,014 ",액션,15세이상관람가,상업영화
40 ,곡성,나홍진,"(주)사이드미러,이십세기폭스 인터내셔널 프로덕션",,이십세기폭스코리아(주),2016-05-12,개봉영화,장편,한국,"1,485 ",55853108382,"6,878,264 ",15445041342,"1,829,923 ",미스터리,15세이상관람가,상업영화
41 ,범죄도시,강윤성,"(주)홍필름,(주)비에이엔터테인먼트",,"메가박스중앙(주)플러스엠,(주)키위미디어그룹",2017-10-03,개봉영화,장편,한국,"1,315 ",56077813249,"6,851,297 ",14046905449,"1,670,254 ",범죄,청소년관람불가,상업영화
42 ,늑대소년,조성희,(주)영화사비단길,,씨제이이앤엠(주),2012-10-31,개봉영화,장편,한국,706 ,46593107500,"6,654,837 ",12336313500,"1,677,173 ",멜로/로맨스,15세이상관람가,상업영화
43 ,군함도,류승완,"(주)외유내강,(주)필름케이",,씨제이이앤엠(주),2017-07-26,개봉영화,장편,한국,"2,027 ",50510565168,"6,592,151 ",11091878868,"1,398,649 ",액션,15세이상관람가,상업영화
44 ,다크 나이트 라이즈,크리스토퍼 놀란,,워너브러더스 코리아(주),워너브러더스 코리아(주),2012-07-19,개봉영화,장편,미국,"1,210 ",47644838000,"6,396,528 ",16258149500,"2,057,529 ",액션,15세이상관람가,상업영화
45 ,사도,이준익,(주)타이거픽쳐스,,(주)쇼박스,2015-09-16,개봉영화,장편,한국,"1,210 ",48842902501,"6,246,849 ",12987928301,"1,606,486 ",사극,12세이상관람가,상업영화
46 ,미션 임파서블: 로그네이션,크리스토퍼 맥쿼리,,롯데쇼핑㈜롯데엔터테인먼트,롯데쇼핑㈜롯데엔터테인먼트,2015-07-30,개봉영화,장편,미국,"1,202 ",48547353607,"6,126,488 ",13751315607,"1,669,524 ",액션,15세이상관람가,상업영화
47 ,킹스맨 : 시크릿 에이전트,매튜 본,,이십세기폭스코리아(주),이십세기폭스코리아(주),2015-02-11,개봉영화,장편,미국,706 ,50333635795,"6,125,154 ",16707645195,"1,968,882 ",액션,청소년관람불가,상업영화
48 ,연평해전,김학순,(주)로제타시네마,,(주)넥스트엔터테인먼트월드(NEW),2015-06-24,개봉영화,장편,한국,"1,013 ",45560620330,"6,043,458 ",9906059630,"1,265,879 ",드라마,12세이상관람가,상업영화
49 ,레미제라블,톰 후퍼,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2012-12-19,개봉영화,장편,미국,696 ,43044999000,"5,911,890 ",16482217500,"2,190,090 ",드라마,12세이상관람가,상업영화
50 ,청년경찰,김주환,"(주)무비락,(주)도서관옆스튜디오,베리굿스튜디오(주)",,롯데쇼핑㈜롯데엔터테인먼트,2017-08-09,개봉영화,장편,한국,"1,102 ",44241099316,"5,636,259 ",9885607016,"1,207,318 ",액션,15세이상관람가,상업영화
51 ,숨바꼭질,허정,(주)드림캡쳐,,(주)넥스트엔터테인먼트월드(NEW),2013-08-14,개봉영화,장편,한국,779 ,39593038500,"5,602,543 ",10079982000,"1,356,936 ",스릴러,15세이상관람가,상업영화
52 ,덕혜옹주,허진호,"(주)하이브미디어코프,(주)영화사호필름 ,(주)디씨지플러스",,롯데쇼핑㈜롯데엔터테인먼트,2016-08-03,개봉영화,장편,한국,964 ,44344141109,"5,593,551 ",10625578869,"1,304,324 ",사극,12세이상관람가,상업영화
53 ,더 테러 라이브,김병우,(주)씨네이천,,롯데쇼핑㈜롯데엔터테인먼트,2013-07-31,개봉영화,장편,한국,743 ,39866712881,"5,583,596 ",11349884881,"1,525,130 ",범죄,15세이상관람가,상업영화
54 ,쥬라기 월드,콜린 트레보로우,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2015-06-11,개봉영화,장편,미국,"1,290 ",47800698826,"5,546,792 ",13625824326,"1,502,391 ",액션,12세이상관람가,상업영화
