title,ActorCD,ActorAvgP,ActorSumP,ActorMinP,ActorMaxP
명량,10072251,31786860561,4.45016E+11,1928502500,135753322310
신과함께-죄와 벌,10087253,29076804145,9.01381E+11,274134500,115706188137
국제시장,10090290,26051666498,7.55498E+11,273120000,110933981730
국제시장,20111869,16000667349,1.92008E+11,1913087600,62697419249
베테랑,10090290,26051666498,7.55498E+11,273120000,110933981730
베테랑,20111869,16000667349,1.92008E+11,1913087600,62697419249
신과함께-인과 연,10087253,29076804145,9.01381E+11,274134500,115706188137
암살,10061467,50583327745,3.54083E+11,3642176500,98463522781
택시운전사,20289646,53825970324,1.07652E+11,11783109998,95868830649
부산행,10001901,25470824016,2.54708E+11,1651122533,93042352648
도둑들,10005276,24665075936,6.90622E+11,1453890000,93665632500
7번방의 선물,10019065,28834863777,6.63202E+11,230047000,135753322310
"광해, 왕이 된 남자",10055626,23303988239,3.26256E+11,1159253000,88908642769
변호인,10037018,37632110651,6.77378E+11,4243936350,95868830649
해운대,10035772,19385766013,4.26487E+11,759481000,81025004000
검사외전,10090290,26051666498,7.55498E+11,273120000,110933981730
검사외전,20111869,16000667349,1.92008E+11,1913087600,62697419249
설국열차,10037018,37632110651,6.77378E+11,4243936350,95868830649
왕의 남자,10000461,12061370462,96490963693,273950500,66014775400
관상,10037018,37632110651,6.77378E+11,4243936350,95868830649
괴물,10037018,37632110651,6.77378E+11,4243936350,95868830649
공조,10088975,17281196926,1.3825E+11,253673000,63783051326
수상한 그녀,10040874,15476710846,2.78581E+11,230047000,88908642769
히말라야,10090290,26051666498,7.55498E+11,273120000,110933981730
히말라야,20111869,16000667349,1.92008E+11,1913087600,62697419249
해적: 바다로 간 산적,10003788,17673107185,2.12077E+11,263049900,66372140706
1987,10005276,24665075936,6.90622E+11,1453890000,93665632500
마스터,10055626,23303988239,3.26256E+11,1159253000,88908642769
국가대표,10087253,29076804145,9.01381E+11,274134500,115706188137
밀정,10037018,37632110651,6.77378E+11,4243936350,95868830649
터널,10087253,29076804145,9.01381E+11,274134500,115706188137
내부자들,10055626,23303988239,3.26256E+11,1159253000,88908642769
럭키,10054128,23729662569,9.49187E+11,311840500,105169264250
범죄도시,10021341,29021857168,7.25546E+11,315291000,115706188137
곡성,20127192,25261215524,3.78918E+11,1658653000,82871781800
최종병기 활,10029474,20772740015,4.15455E+11,470675000,66715881300
인천상륙작전,20276429,27644868852,55289737703,220051200,55069686503
써니,20111253,27367057300,54734114600,698549500,54035565100
써니,20152827,3983748800,3983748800,3983748800,3983748800
과속스캔들,10071209,20126261981,3.01894E+11,459220000,115706188137
베를린,10087253,29076804145,9.01381E+11,274134500,115706188137
군함도,10090290,26051666498,7.55498E+11,273120000,110933981730
군함도,20111869,16000667349,1.92008E+11,1913087600,62697419249
사도,10037018,37632110651,6.77378E+11,4243936350,95868830649
은밀하게 위대하게,20125794,60058967738,3.00295E+11,3357912530,93665632500
은밀하게 위대하게,10004777,5965197131,77547562700,287654500,20996302500
늑대소년,10037229,19433234795,1.36033E+11,2869918500,50510565168
연평해전,10004099,18217555089,1.4574E+11,417495600,55827861500
청년경찰,20302629,32757878628,98273635884,3381050200,50510565168
화려한 휴가,10004396,11196881099,1.34363E+11,262191500,44098470600
전우치,10000558,24448106931,4.64514E+11,1859615500,77319445264
전우치,20122651,10136738500,10136738500,10136738500,10136738500
덕혜옹주,10036883,23056183424,3.68899E+11,2027581239,66372140706
