,title,ActorCD,ActorAvgP,ActorSumP,ActorMinP,ActorMaxP
0,명량,10072251,31786860561.0,445016000000.0,1928502500,135753322310
1,신과함께-죄와 벌,10087253,29076804145.0,901381000000.0,274134500,115706188137
2,국제시장,10090290,26051666498.0,755498000000.0,273120000,110933981730
3,베테랑,10090290,26051666498.0,755498000000.0,273120000,110933981730
4,신과함께-인과 연,10087253,29076804145.0,901381000000.0,274134500,115706188137
5,암살,10061467,50583327745.0,354083000000.0,3642176500,98463522781
6,택시운전사,20289646,53825970324.0,107652000000.0,11783109998,95868830649
7,부산행,10001901,25470824016.0,254708000000.0,1651122533,93042352648
8,도둑들,10005276,24665075936.0,690622000000.0,1453890000,93665632500
9,7번방의 선물,10019065,28834863777.0,663202000000.0,230047000,135753322310
10,"광해, 왕이 된 남자",10055626,23303988239.0,326256000000.0,1159253000,88908642769
11,변호인,10037018,37632110651.0,677378000000.0,4243936350,95868830649
12,해운대,10035772,19385766013.0,426487000000.0,759481000,81025004000
13,검사외전,10090290,26051666498.0,755498000000.0,273120000,110933981730
14,설국열차,10037018,37632110651.0,677378000000.0,4243936350,95868830649
15,왕의 남자,10000461,12061370462.0,96490963693.0,273950500,66014775400
16,관상,10037018,37632110651.0,677378000000.0,4243936350,95868830649
17,괴물,10037018,37632110651.0,677378000000.0,4243936350,95868830649
18,공조,10088975,17281196926.0,138250000000.0,253673000,63783051326
19,수상한 그녀,10040874,15476710846.0,278581000000.0,230047000,88908642769
20,히말라야,10090290,26051666498.0,755498000000.0,273120000,110933981730
21,해적: 바다로 간 산적,10003788,17673107185.0,212077000000.0,263049900,66372140706
22,1987,10005276,24665075936.0,690622000000.0,1453890000,93665632500
23,마스터,10055626,23303988239.0,326256000000.0,1159253000,88908642769
24,국가대표,10087253,29076804145.0,901381000000.0,274134500,115706188137
25,밀정,10037018,37632110651.0,677378000000.0,4243936350,95868830649
26,터널,10087253,29076804145.0,901381000000.0,274134500,115706188137
27,내부자들,10055626,23303988239.0,326256000000.0,1159253000,88908642769
28,럭키,10054128,23729662569.0,949187000000.0,311840500,105169264250
29,범죄도시,10021341,29021857168.0,725546000000.0,315291000,115706188137
30,곡성,20127192,25261215524.0,378918000000.0,1658653000,82871781800
31,최종병기 활,10029474,20772740015.0,415455000000.0,470675000,66715881300
32,인천상륙작전,20276429,27644868852.0,55289737703.0,220051200,55069686503
33,써니,20111253,27367057300.0,54734114600.0,698549500,54035565100
34,과속스캔들,10071209,20126261981.0,301894000000.0,459220000,115706188137
35,베를린,10087253,29076804145.0,901381000000.0,274134500,115706188137
36,군함도,10090290,26051666498.0,755498000000.0,273120000,110933981730
37,사도,10037018,37632110651.0,677378000000.0,4243936350,95868830649
38,은밀하게 위대하게,20125794,60058967738.0,300295000000.0,3357912530,93665632500
39,늑대소년,10037229,19433234795.0,136033000000.0,2869918500,50510565168
40,연평해전,10004099,18217555089.0,145740000000.0,417495600,55827861500
41,청년경찰,20302629,32757878628.0,98273635884.0,3381050200,50510565168
42,화려한 휴가,10004396,11196881099.0,134363000000.0,262191500,44098470600
43,전우치,10000558,24448106931.0,464514000000.0,1859615500,77319445264
44,덕혜옹주,10036883,23056183424.0,368899000000.0,2027581239,66372140706
45,"좋은 놈, 나쁜 놈, 이상한 놈",10037018,37632110651.0,677378000000.0,4243936350,95868830649
46,더 킹,10066899,26855078512.0,80565235535.0,11664597600,43488814535
47,독전,10067353,22066928181.0,882677000000.0,235292500,135753322310
48,검은 사제들,10005276,24665075936.0,690622000000.0,1453890000,93665632500
49,공작,10090290,26051666498.0,755498000000.0,273120000,110933981730
50,웰컴 투 동막골,10040665,10463864360.0,167422000000.0,522848900,40328508500
51,의형제,10037018,37632110651.0,677378000000.0,4243936350,95868830649
52,더 테러 라이브,10087253,29076804145.0,901381000000.0,274134500,115706188137
53,아저씨,10052465,26742042700.0,133710000000.0,11090682500,47102707500
54,숨바꼭질,20111125,11915827646.0,142990000000.0,243405000,48700887413
55,감시자들,10035772,19385766013.0,426487000000.0,759481000,81025004000
56,완득이,10005276,24665075936.0,690622000000.0,1453890000,93665632500
57,타워,10035772,19385766013.0,426487000000.0,759481000,81025004000
58,"님아, 그 강을 건너지 마오",20198488,37356780079.0,37356780079.0,37356780079,37356780079
59,군도: 민란의 시대,10087253,29076804145.0,901381000000.0,274134500,115706188137
60,범죄와의 전쟁: 나쁜놈들 전성시대,10072251,31786860561.0,445016000000.0,1928502500,135753322310
61,미녀는 괴로워,10004885,16376849241.0,98261095444.0,753985500,43488814535
62,타짜,10066380,24173591466.0,265910000000.0,240262112,98463522781
63,판도라,10003788,17673107185.0,212077000000.0,263049900,66372140706
64,조선명탐정 : 각시투구꽃의 비밀,10004060,15764048766.0,236461000000.0,1246200228,36067171064
65,도가니,10062071,12642700856.0,240211000000.0,237013700,93042352648
66,도가니,20157089,9179188500.0,9179188500.0,9179188500,9179188500
67,강철비,10062025,15739386249.0,220351000000.0,2139360500,43488814535
68,아가씨,10004236,9370094548.0,84330850929.0,439840592,35211229991
69,신세계,10057315,51004139315.0,714058000000.0,220051200,115706188137
70,내 아내의 모든 것,10058646,10310393795.0,123725000000.0,217269000,44092710000
71,추격자,10005276,24665075936.0,690622000000.0,1453890000,93665632500
72,바람과 함께 사라지다,10071209,20126261981.0,301894000000.0,459220000,115706188137
73,연가시,10004060,15764048766.0,236461000000.0,1246200228,36067171064
74,투사부일체,10062240,12037769525.0,144453000000.0,220051200,55069686503
75,꾼,10088975,17281196926.0,138250000000.0,253673000,63783051326
76,남한산성,10055626,23303988239.0,326256000000.0,1159253000,88908642769
77,조선명탐정 : 사라진 놉의 딸,10004060,15764048766.0,236461000000.0,1246200228,36067171064
78,건축학개론,10047367,11162693000.0,122790000000.0,1194185500,30220536000
79,댄싱퀸,10090290,26051666498.0,755498000000.0,273120000,110933981730
80,용의자,10001901,25470824016.0,254708000000.0,1651122533,93042352648
81,역린,10088975,17281196926.0,138250000000.0,253673000,63783051326
82,신의 한 수,10062025,15739386249.0,220351000000.0,2139360500,43488814535
83,강철중: 공공의 적 1-1,10035772,19385766013.0,426487000000.0,759481000,81025004000
84,가문의 위기(가문의 영광2),10040687,9166187590.0,91661875900.0,386192500,28622355500
85,박수건달,10028888,10170924267.0,40683697069.0,1729412500,28379548569
86,그것만이 내 세상,10055626,23303988239.0,326256000000.0,1159253000,88908642769
87,귀향,10036856,17683544159.0,53050632476.0,262191500,27248705990
88,마녀,20302909,14235870178.0,28471740355.0,1229698892,27242041463
89,끝까지 간다,10055970,7475272746.0,149505000000.0,273384900,34222160500
90,탐정: 리턴즈,10002387,11007491975.0,110075000000.0,3837152000,26909477678
91,7급 공무원,10006171,17422181100.0,191644000000.0,363240500,115706188137
92,말아톤,10066380,24173591466.0,265910000000.0,240262112,98463522781
93,우리 생애 최고의 순간,10026732,11552042921.0,219489000000.0,237013700,58167040145
94,부러진 화살,10043371,15195210043.0,273514000000.0,1074486100,44098470600
95,아이 캔 스피크,10006877,16706782390.0,183775000000.0,1545587500,62697419249
96,이끼,10062184,11004243706.0,264102000000.0,327192000,40328508500
